金额,商品,支付时间,地点,商品大类,商品二级类
0.8,咪咪虾条马来西亚风味,2017/1/9 13:16,C,非饮料,膨化食品
2.0,怡宝纯净水,2017/1/9 13:22,C,饮料,水
4.5,65g卫龙亲嘴豆皮,2017/1/9 13:26,C,非饮料,肉干/豆制品/蛋
3.6,32g卫龙亲嘴烧红烧牛肉味,2017/1/9 13:48,C,非饮料,肉干/豆制品/蛋
3.0,雪碧（500ml）,2017/1/9 13:49,C,饮料,碳酸饮料
4.0,脉动,2017/1/9 13:59,C,饮料,功能饮料
4.0,阿萨姆奶茶,2017/1/9 14:48,C,饮料,茶饮料
6.0,红牛,2017/1/9 14:50,C,饮料,功能饮料
1.5,香脆肠,2017/1/9 14:55,C,非饮料,肉干/豆制品/蛋
4.5,好吃点,2017/1/9 14:58,C,非饮料,饼干糕点
7.0,泰奇八宝粥,2017/1/9 14:59,C,非饮料,方便速食
4.5,50g上好佳日式鱼果,2017/1/9 15:31,C,非饮料,膨化食品
1.0,康师傅矿泉水,2017/1/9 15:32,C,饮料,水
2.5,145ml旺仔牛奶盒装,2017/1/9 15:39,C,饮料,乳制品
5.5,145g果王迷你山楂包装,2017/1/9 17:11,C,非饮料,蜜饯/果干
4.5,燕塘原味酸奶,2017/1/9 17:27,C,饮料,乳制品
4.0,营养快线,2017/1/9 17:34,C,饮料,乳制品
2.5,30g无穷农场盐_鸡蛋,2017/1/9 17:35,C,非饮料,肉干/豆制品/蛋
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/9 17:40,C,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/1/9 17:40,C,饮料,乳制品
3.0,熊字饼,2017/1/9 17:41,C,非饮料,饼干糕点
2.0,怡宝纯净水,2017/1/9 17:46,C,饮料,水
25.0,芙蓉王,2017/1/9 17:47,C,非饮料,香烟
4.0,营养快线,2017/1/9 17:48,C,饮料,乳制品
7.0,泰奇八宝粥,2017/1/9 17:53,C,非饮料,方便速食
10.0,37.5g费列罗榛果威化巧克力3颗,2017/1/9 18:17,C,非饮料,糖果/巧克力
4.0,250ml燕塘甜牛奶,2017/1/9 18:36,C,饮料,乳制品
3.5,东鹏特饮,2017/1/9 18:51,C,饮料,功能饮料
2.5,30g元朗小蛋卷,2017/1/9 20:52,C,非饮料,饼干糕点
1.5,劲仔小鱼（麻辣味）,2017/1/9 20:58,C,非饮料,肉干/豆制品/蛋
2.0,鸭翅,2017/1/9 20:59,C,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/1/9 21:00,C,饮料,茶饮料
7.0,泰奇八宝粥,2017/1/9 21:06,C,非饮料,方便速食
3.0,250ml维他原味豆奶,2017/1/9 21:13,C,饮料,植物蛋白
1.0,香豆干,2017/1/9 21:13,C,非饮料,肉干/豆制品/蛋
2.0,怡宝纯净水,2017/1/9 21:14,C,饮料,水
3.0,雪碧（500ml）,2017/1/9 21:16,C,饮料,碳酸饮料
4.5,脉动,2017/1/9 21:22,C,饮料,功能饮料
5.0,500ml统一阿萨姆奶茶,2017/1/9 21:25,C,饮料,茶饮料
4.5,脉动,2017/1/9 21:39,C,饮料,功能饮料
3.0,85g新麦潮手撕面包（提子味）,2017/1/9 23:26,C,非饮料,饼干糕点
6.0,红牛,2017/1/9 23:37,C,饮料,功能饮料
5.0,脉动,2017/1/9 23:56,C,饮料,功能饮料
3.0,250ml维他原味豆奶,2017/1/9 23:57,C,饮料,植物蛋白
1.0,好吃点小饼干,2017/1/10 00:16,C,非饮料,饼干糕点
3.2,20g马来西亚风味咪咪蟹味粒0219,2017/1/10 00:25,C,非饮料,膨化食品
6.0,86g合味道浓猪骨味,2017/1/10 01:23,C,非饮料,方便速食
4.5,250ml燕塘原味酸奶,2017/1/10 01:28,C,饮料,乳制品
1.6,20g咪咪虾条马来西亚风味,2017/1/10 05:40,C,非饮料,膨化食品
1.5,45g双汇泡面拍挡,2017/1/10 05:54,C,非饮料,肉干/豆制品/蛋
5.0,脉动,2017/1/10 07:46,C,饮料,功能饮料
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/10 08:45,C,非饮料,饼干糕点
2.4,咪咪虾条马来西亚风味,2017/1/10 09:14,C,非饮料,膨化食品
4.5,500ml加多宝,2017/1/10 09:16,C,饮料,茶饮料
5.0,脉动,2017/1/10 09:20,C,饮料,功能饮料
6.5,83g汤达人酸辣豚骨拉面,2017/1/10 10:04,C,非饮料,方便速食
4.5,65g卫龙亲嘴豆皮,2017/1/10 10:08,C,非饮料,肉干/豆制品/蛋
3.6,32g卫龙亲嘴烧,2017/1/10 10:13,C,非饮料,肉干/豆制品/蛋
3.5,70g乖媳妇野山泡椒凤爪,2017/1/10 10:42,C,非饮料,肉干/豆制品/蛋
4.0,脉动,2017/1/10 10:45,C,饮料,功能饮料
1.6,韩国海牌海苔,2017/1/10 11:21,C,非饮料,海味零食
3.5,东鹏特饮,2017/1/10 11:51,C,饮料,功能饮料
4.0,脉动,2017/1/10 12:02,C,饮料,功能饮料
3.0,怡宝纯净水,2017/1/10 12:10,C,饮料,水
4.0,果粒橙,2017/1/10 12:12,C,饮料,果蔬饮料
4.0,统一冰红茶,2017/1/10 12:13,C,饮料,茶饮料
4.0,果粒橙,2017/1/10 12:14,C,饮料,果蔬饮料
4.0,王老吉（罐）,2017/1/10 13:01,C,饮料,茶饮料
4.0,果粒橙,2017/1/10 13:10,C,饮料,果蔬饮料
4.0,果粒橙,2017/1/10 13:18,C,饮料,果蔬饮料
4.0,统一冰红茶,2017/1/10 13:29,C,饮料,茶饮料
5.0,脉动,2017/1/10 13:36,C,饮料,功能饮料
3.0,怡宝纯净水,2017/1/10 14:05,C,饮料,水
3.0,怡宝纯净水,2017/1/10 14:55,C,饮料,水
2.5,85g新麦潮北海道吐司,2017/1/10 15:06,C,非饮料,饼干糕点
5.0,营养快线,2017/1/10 15:06,C,饮料,乳制品
4.0,盼盼手撕面包,2017/1/10 15:08,C,非饮料,饼干糕点
3.5,250ML东鹏特饮,2017/1/10 15:09,C,饮料,功能饮料
5.0,脉动,2017/1/10 15:09,C,饮料,功能饮料
3.0,250ml维他柠檬茶,2017/1/10 15:10,C,饮料,茶饮料
6.5,430g泰奇八宝粥,2017/1/10 15:25,C,非饮料,方便速食
2.0,鸭翅,2017/1/10 15:34,C,非饮料,肉干/豆制品/蛋
4.5,80g香飘飘椰果奶茶麦香味,2017/1/10 16:01,C,饮料,茶饮料
4.0,统一冰红茶,2017/1/10 16:01,C,饮料,茶饮料
4.5,40g乐事薯片黄瓜味,2017/1/10 16:15,C,非饮料,膨化食品
4.5,55g奥利奥原味夹心饼干,2017/1/10 16:20,C,非饮料,饼干糕点
1.6,2g韩国海牌海苔,2017/1/10 16:27,C,非饮料,海味零食
3.5,芬达330ml,2017/1/10 16:28,C,饮料,碳酸饮料
1.8,32g卫龙亲嘴烧,2017/1/10 16:29,C,非饮料,肉干/豆制品/蛋
5.0,脉动,2017/1/10 16:29,C,饮料,功能饮料
3.0,12g劲仔小鱼麻辣味,2017/1/10 17:11,C,非饮料,肉干/豆制品/蛋
3.5,500ml加多宝,2017/1/10 17:30,C,饮料,茶饮料
4.0,果粒橙,2017/1/10 17:30,C,饮料,果蔬饮料
4.0,果粒橙,2017/1/10 17:31,C,饮料,果蔬饮料
3.0,怡宝纯净水,2017/1/10 17:32,C,饮料,水
3.5,维他原味豆奶,2017/1/10 17:33,C,饮料,植物蛋白
3.0,怡宝纯净水,2017/1/10 17:33,C,饮料,水
5.0,阿萨姆奶茶,2017/1/10 17:34,C,饮料,茶饮料
5.0,王老吉（500ml）,2017/1/10 17:35,C,饮料,茶饮料
3.0,怡宝纯净水,2017/1/10 17:36,C,饮料,水
3.5,芬达330ml,2017/1/10 17:37,C,饮料,碳酸饮料
3.5,维他原味豆奶,2017/1/10 17:37,C,饮料,植物蛋白
5.0,脉动,2017/1/10 17:39,C,饮料,功能饮料
3.5,统一绿茶,2017/1/10 17:42,C,饮料,茶饮料
3.5,维他原味豆奶,2017/1/10 17:42,C,饮料,植物蛋白
3.5,250ml燕塘甜牛奶,2017/1/10 17:44,C,饮料,乳制品
3.0,怡宝纯净水,2017/1/10 17:44,C,饮料,水
3.5,维他柠檬茶,2017/1/10 17:47,C,饮料,茶饮料
3.0,怡宝纯净水,2017/1/10 17:47,C,饮料,水
3.5,85g新麦潮手撕面包（提子味）,2017/1/10 17:48,C,非饮料,饼干糕点
4.0,果粒橙,2017/1/10 17:48,C,饮料,果蔬饮料
5.0,王老吉（500ml）,2017/1/10 17:52,C,饮料,茶饮料
4.5,78g卫龙亲嘴语辣条,2017/1/10 17:58,C,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/1/10 18:19,C,饮料,水
3.0,怡宝纯净水,2017/1/10 18:21,C,饮料,水
2.0,双汇玉米热狗肠,2017/1/10 18:50,C,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/1/10 19:10,C,饮料,水
3.5,雪碧330ml,2017/1/10 19:12,C,饮料,碳酸饮料
4.5,脉动,2017/1/10 19:13,C,饮料,功能饮料
5.0,脉动,2017/1/10 19:16,C,饮料,功能饮料
3.0,怡宝纯净水,2017/1/10 19:18,C,饮料,水
6.0,86g合味道浓猪骨味,2017/1/10 19:40,C,非饮料,方便速食
1.5,40g双汇玉米热狗肠,2017/1/10 19:49,C,非饮料,肉干/豆制品/蛋
4.0,果粒橙,2017/1/10 19:56,C,饮料,果蔬饮料
5.0,王老吉（500ml）,2017/1/10 19:58,C,饮料,茶饮料
3.5,可口可乐330ml,2017/1/10 20:07,C,饮料,碳酸饮料
3.0,怡宝纯净水,2017/1/10 20:16,C,饮料,水
4.5,78g卫龙亲嘴语辣条,2017/1/10 20:18,C,非饮料,肉干/豆制品/蛋
5.0,阿萨姆奶茶,2017/1/10 20:19,C,饮料,茶饮料
3.5,芬达330ml,2017/1/10 20:21,C,饮料,碳酸饮料
3.0,怡宝纯净水,2017/1/10 20:32,C,饮料,水
5.0,脉动,2017/1/10 20:33,C,饮料,功能饮料
5.0,王老吉（500ml）,2017/1/10 21:10,C,饮料,茶饮料
4.0,55g奥利奥原味芝士饼干,2017/1/10 21:22,C,非饮料,饼干糕点
3.0,怡宝纯净水,2017/1/10 21:29,C,饮料,水
0.8,咪咪虾条马来西亚风味,2017/1/10 21:31,C,非饮料,膨化食品
10.0,225g味之不规则饼干芝士味,2017/1/10 21:48,C,非饮料,饼干糕点
4.0,王老吉（罐）,2017/1/10 22:12,C,饮料,茶饮料
5.5,330ml伊利畅意乳酸菌原味,2017/1/10 22:15,C,饮料,乳制品
3.0,怡宝纯净水,2017/1/10 22:17,C,饮料,水
3.0,可口可乐最新款,2017/1/10 22:23,C,饮料,碳酸饮料
5.0,王老吉（500ml）,2017/1/10 22:25,C,饮料,茶饮料
5.0,营养快线,2017/1/10 22:42,C,饮料,乳制品
7.0,150g洽洽原香瓜子,2017/1/10 22:50,C,非饮料,坚果炒货
4.5,250ml燕塘甜牛奶,2017/1/10 22:54,C,饮料,乳制品
3.6,600ml雪碧,2017/1/10 23:24,C,饮料,碳酸饮料
4.5,燕塘原味酸奶,2017/1/10 23:34,C,饮料,乳制品
5.0,营养快线,2017/1/10 23:48,C,饮料,乳制品
3.5,600ml可口可乐,2017/1/11 00:05,C,饮料,碳酸饮料
3.0,雪碧最新款,2017/1/11 00:05,C,饮料,碳酸饮料
7.0,40g卫龙点心面黑椒牛排味,2017/1/11 00:28,C,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/1/11 00:28,C,饮料,水
5.5,55g奥利奥迷你杯夹心小饼干杯装原味,2017/1/11 00:32,C,非饮料,饼干糕点
1.5,小鱼仔,2017/1/11 00:32,C,非饮料,海味零食
8.5,225g味之不规则饼干芝士味,2017/1/11 00:47,C,非饮料,饼干糕点
3.5,250ml燕塘甜牛奶,2017/1/11 01:04,C,饮料,乳制品
1.5,小鱼仔,2017/1/11 01:04,C,非饮料,海味零食
3.5,芬达330ml,2017/1/11 02:35,C,饮料,碳酸饮料
4.0,王老吉（罐）,2017/1/11 02:38,C,饮料,茶饮料
5.0,王老吉（500ml）,2017/1/11 02:40,C,饮料,茶饮料
3.5,600ml雪碧,2017/1/11 04:20,C,饮料,碳酸饮料
3.5,500ml统一冰糖雪梨,2017/1/11 04:28,C,饮料,果蔬饮料
4.0,统一冰红茶,2017/1/11 04:28,C,饮料,茶饮料
3.0,怡宝纯净水,2017/1/11 04:33,C,饮料,水
1.5,劲仔小鱼（麻辣味）,2017/1/11 04:44,C,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/1/11 04:56,C,饮料,水
3.0,怡宝纯净水,2017/1/11 04:57,C,饮料,水
4.5,40g上好佳日式鱼果,2017/1/11 05:03,C,非饮料,膨化食品
3.0,怡宝纯净水,2017/1/11 06:55,C,饮料,水
5.0,500ml统一阿萨姆奶茶,2017/1/11 07:34,C,饮料,茶饮料
1.8,600ml雪碧,2017/1/13 12:36,C,饮料,碳酸饮料
2.5,30g元朗小蛋卷,2017/1/15 16:26,C,非饮料,饼干糕点
6.5,430g泰奇八宝粥,2017/1/15 22:33,C,非饮料,方便速食
4.5,78g卫龙亲嘴语辣条,2017/1/16 14:23,C,非饮料,肉干/豆制品/蛋
4.5,52g旺旺仙贝,2017/1/16 15:42,C,非饮料,膨化食品
4.0,55g奥利奥原味夹心饼干,2017/1/16 15:57,C,非饮料,饼干糕点
4.0,55g奥利奥原味芝士饼干,2017/1/16 15:58,C,非饮料,饼干糕点
3.0,卫龙大面筋,2017/1/16 16:30,C,非饮料,肉干/豆制品/蛋
1.5,劲仔小鱼（卤香味）,2017/1/16 17:28,C,非饮料,肉干/豆制品/蛋
2.5,250ml统一麦香奶茶,2017/1/16 17:38,C,饮料,茶饮料
3.5,东鹏特饮,2017/1/16 17:48,C,饮料,功能饮料
15.0,和成天下（红）,2017/1/16 18:01,C,非饮料,香烟
4.5,250ml燕塘红枣牛奶,2017/1/16 19:47,C,饮料,乳制品
3.5,东鹏特饮,2017/1/16 22:36,C,饮料,功能饮料
4.5,燕塘红枣牛奶,2017/1/17 10:37,C,饮料,乳制品
3.0,统一绿茶,2017/1/17 10:44,C,饮料,茶饮料
4.5,营养快线,2017/1/19 21:37,C,饮料,乳制品
3.2,2g韩国海牌海苔,2017/1/19 23:02,C,非饮料,海味零食
3.5,雪碧,2017/1/21 12:06,C,饮料,碳酸饮料
5.0,王老吉（500ml）,2017/1/21 17:56,C,饮料,茶饮料
3.0,果粒橙,2017/1/21 18:25,C,饮料,果蔬饮料
4.0,银鹭八宝粥,2017/1/21 23:45,C,饮料,方便速食
3.0,85g新麦潮北海道吐司,2017/1/22 12:34,C,非饮料,饼干糕点
4.5,燕塘原味酸奶,2017/1/22 18:14,C,饮料,乳制品
3.0,250ml维他柠檬茶,2017/1/22 19:55,C,饮料,茶饮料
1.5,12g劲仔小鱼麻辣味,2017/1/22 19:56,C,非饮料,肉干/豆制品/蛋
3.5,统一绿茶,2017/1/24 21:40,C,饮料,茶饮料
4.5,78g卫龙亲嘴语辣条,2017/1/25 12:21,C,非饮料,肉干/豆制品/蛋
3.0,怡宝,2017/1/25 21:43,C,饮料,水
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/26 08:55,C,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/1/26 21:14,C,非饮料,肉干/豆制品/蛋
3.0,250ml维他奶巧克力味,2017/1/27 16:16,C,饮料,植物蛋白
4.0,阿萨姆奶茶,2017/1/27 16:22,C,饮料,茶饮料
4.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/28 09:32,C,非饮料,饼干糕点
4.5,40g乐事美国经典原味,2017/1/28 16:09,C,非饮料,膨化食品
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/28 18:10,C,非饮料,饼干糕点
10.0,37.5g费列罗榛果威化巧克力3颗,2017/1/29 08:16,C,非饮料,糖果/巧克力
1.8,32g卫龙亲嘴烧红烧牛肉味,2017/1/29 11:17,C,非饮料,肉干/豆制品/蛋
4.0,美汁源果粒橙,2017/1/29 11:18,C,饮料,果蔬饮料
2.5,250ml维他奶巧克力味,2017/1/29 13:53,C,饮料,植物蛋白
3.0,芬达330ml,2017/1/29 15:38,C,饮料,碳酸饮料
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/29 15:56,C,非饮料,饼干糕点
3.0,芬达330ml,2017/1/29 15:56,C,饮料,碳酸饮料
4.5,250ml燕塘原味酸奶,2017/1/29 18:18,C,饮料,乳制品
4.5,250ml燕塘原味酸奶,2017/1/29 18:28,C,饮料,乳制品
2.0,40g双汇玉米热狗肠,2017/1/29 19:05,C,非饮料,肉干/豆制品/蛋
2.5,无穷农场盐_鸡蛋,2017/1/29 19:06,C,非饮料,肉干/豆制品/蛋
2.0,85g新麦潮手撕面包（提子味）,2017/1/29 19:39,C,非饮料,饼干糕点
6.0,330ml伊利畅意乳酸菌原味,2017/1/29 22:17,C,饮料,乳制品
6.0,330ml伊利畅意乳酸菌原味,2017/1/29 23:15,C,饮料,乳制品
3.0,雪碧最新款,2017/1/29 23:37,C,饮料,碳酸饮料
4.0,银鹭八宝粥,2017/1/30 02:49,C,饮料,方便速食
4.0,450ml美汁源果粒橙,2017/1/30 05:05,C,饮料,果蔬饮料
2.5,250ml统一麦香奶茶,2017/1/30 06:26,C,饮料,茶饮料
3.0,统一绿茶,2017/1/30 12:17,C,饮料,茶饮料
2.0,双汇玉米热狗肠,2017/1/30 12:30,C,非饮料,肉干/豆制品/蛋
3.0,250ml维他原味豆奶,2017/1/30 13:35,C,饮料,植物蛋白
1.6,咪咪虾条马来西亚风味,2017/1/30 13:59,C,非饮料,膨化食品
4.0,55g奥利奥原味芝士饼干,2017/1/30 14:45,C,非饮料,饼干糕点
1.5,40g双汇玉米热狗肠,2017/1/30 15:58,C,非饮料,肉干/豆制品/蛋
1.2,康师傅矿泉水,2017/1/30 16:08,C,饮料,水
4.5,燕塘甜牛奶,2017/1/30 16:12,C,饮料,乳制品
3.5,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/30 16:29,C,非饮料,饼干糕点
3.0,85g新麦潮北海道吐司,2017/1/30 19:44,C,非饮料,饼干糕点
7.0,合味道（海鲜风味）,2017/1/30 21:16,C,非饮料,方便速食
4.5,营养快线,2017/1/30 21:35,C,饮料,乳制品
4.5,250ml燕塘原味酸奶,2017/1/30 21:51,C,饮料,乳制品
4.5,脉动,2017/1/30 22:00,C,饮料,功能饮料
2.0,85g新麦潮北海道吐司,2017/1/30 23:33,C,非饮料,饼干糕点
2.0,怡宝纯净水,2017/1/31 13:50,C,饮料,水
2.0,怡宝纯净水,2017/1/31 14:09,C,饮料,水
3.0,卫龙大面筋,2017/1/31 14:10,C,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/1/31 14:21,C,饮料,功能饮料
2.0,香脆肠,2017/1/31 15:46,C,非饮料,肉干/豆制品/蛋
2.5,凤爪,2017/1/31 16:25,C,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/1/31 17:09,C,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/1/31 17:41,C,非饮料,肉干/豆制品/蛋
2.0,鸭翅,2017/1/31 17:42,C,非饮料,肉干/豆制品/蛋
3.0,印尼芝士威化饼干,2017/1/31 17:55,C,非饮料,饼干糕点
4.0,统一冰红茶,2017/1/31 17:56,C,饮料,茶饮料
4.0,脉动,2017/1/31 18:16,C,饮料,功能饮料
4.0,脉动,2017/1/31 18:27,C,饮料,功能饮料
3.0,可口可乐最新款,2017/1/31 18:33,C,饮料,碳酸饮料
3.0,怡宝,2017/1/31 18:42,C,饮料,水
3.0,怡宝,2017/1/31 19:42,C,饮料,水
3.0,卫龙大面筋,2017/1/31 19:54,C,非饮料,肉干/豆制品/蛋
3.0,怡宝,2017/1/31 19:55,C,饮料,水
3.0,果粒橙,2017/1/31 20:49,C,饮料,果蔬饮料
3.0,雪碧最新款,2017/1/31 21:02,C,饮料,碳酸饮料
1.5,小鱼仔,2017/1/31 21:31,C,非饮料,海味零食
3.5,果粒橙,2017/1/31 21:39,C,饮料,果蔬饮料
3.5,果粒橙,2017/1/31 21:40,C,饮料,果蔬饮料
4.0,脉动,2017/1/31 21:51,C,饮料,功能饮料
4.5,营养快线,2017/1/31 22:00,C,饮料,乳制品
4.0,王老吉（罐）,2017/1/31 22:16,C,饮料,茶饮料
3.0,怡宝,2017/1/31 22:38,C,饮料,水
3.0,怡宝,2017/1/31 22:54,C,饮料,水
4.0,阿萨姆奶茶,2017/1/31 23:24,C,饮料,茶饮料
3.0,雪碧最新款,2017/1/31 23:37,C,饮料,碳酸饮料
3.0,卫龙大面筋,2017/2/1 09:10,C,非饮料,肉干/豆制品/蛋
3.0,印尼芝士威化饼干,2017/2/1 09:12,C,非饮料,饼干糕点
3.0,卫龙大面筋,2017/2/1 12:53,C,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/2/1 13:04,C,饮料,功能饮料
3.0,可口可乐最新款,2017/2/1 15:15,C,饮料,碳酸饮料
4.0,阿萨姆煎茶奶绿,2017/2/1 15:50,C,饮料,茶饮料
4.0,阿萨姆煎茶奶绿,2017/2/1 16:20,C,饮料,茶饮料
3.0,可口可乐最新款,2017/2/1 16:23,C,饮料,碳酸饮料
3.0,维他奶,2017/2/1 16:50,C,饮料,植物蛋白
1.5,小鱼仔,2017/2/1 17:10,C,非饮料,海味零食
1.5,小鱼仔,2017/2/1 17:17,C,非饮料,海味零食
2.0,鸭翅,2017/2/1 20:18,C,非饮料,肉干/豆制品/蛋
2.0,鸭翅,2017/2/1 20:55,C,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/2/1 20:59,C,饮料,茶饮料
2.5,怡宝纯净水,2017/2/1 21:50,C,饮料,水
3.0,13g无穷烤鸡小腿蜂蜜味,2017/2/1 22:42,C,非饮料,肉干/豆制品/蛋
5.0,王老吉（500ml）,2017/2/1 22:42,C,饮料,茶饮料
3.0,雪碧最新款,2017/2/1 23:29,C,饮料,碳酸饮料
1.5,卫龙亲嘴烧红烧牛肉味,2017/2/2 00:00,C,非饮料,肉干/豆制品/蛋
