金额,商品,支付时间,地点,商品大类,商品二级类
6.0,红牛,2017/1/9 08:13,D,饮料,功能饮料
6.5,100g果王咸柑桔罐装,2017/1/9 08:18,D,非饮料,蜜饯/果干
5.0,110g顺宝九制话梅,2017/1/9 08:26,D,非饮料,蜜饯/果干
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/9 09:22,D,非饮料,肉干/豆制品/蛋
3.0,雪碧（500ml）,2017/1/9 09:29,D,饮料,碳酸饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/9 10:01,D,非饮料,肉干/豆制品/蛋
2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/9 12:14,D,非饮料,饼干糕点
3.0,果粒橙,2017/1/9 12:19,D,饮料,果蔬饮料
6.5,430g泰奇八宝粥,2017/1/9 12:38,D,非饮料,方便速食
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/9 12:46,D,非饮料,饼干糕点
2.5,无穷农场盐_鸡蛋,2017/1/9 13:03,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/1/9 13:09,D,饮料,茶饮料
3.0,250ml维他原味豆奶,2017/1/9 13:21,D,饮料,植物蛋白
3.5,70g乖媳妇野山泡椒凤爪,2017/1/9 13:28,D,非饮料,肉干/豆制品/蛋
4.5,500ml加多宝,2017/1/9 13:30,D,饮料,茶饮料
1.2,10g卫龙亲嘴烧香辣味,2017/1/9 13:58,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/1/9 14:38,D,饮料,茶饮料
1.6,20g咪咪虾条马来西亚风味,2017/1/9 15:13,D,非饮料,膨化食品
3.0,40g双汇玉米热狗肠,2017/1/9 15:23,D,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/1/9 15:32,D,饮料,乳制品
6.0,86g合味道海鲜风味,2017/1/9 15:33,D,非饮料,方便速食
5.5,103g康师傅红烧牛肉面,2017/1/9 15:44,D,非饮料,方便速食
5.8,205ml安慕希蓝莓味,2017/1/9 15:55,D,饮料,乳制品
3.0,卫龙大面筋,2017/1/9 16:52,D,非饮料,肉干/豆制品/蛋
4.0,20g咪咪虾条马来西亚风味,2017/1/9 17:30,D,非饮料,膨化食品
3.5,东鹏特饮,2017/1/9 17:45,D,饮料,功能饮料
7.0,泰奇八宝粥,2017/1/9 17:45,D,非饮料,方便速食
6.0,红牛,2017/1/9 17:46,D,饮料,功能饮料
2.5,伊利优酸乳,2017/1/9 17:47,D,饮料,乳制品
4.0,脉动,2017/1/9 17:48,D,饮料,功能饮料
4.0,脉动,2017/1/9 18:05,D,饮料,功能饮料
3.5,250ml燕塘甜牛奶,2017/1/9 18:13,D,饮料,乳制品
3.0,统一冰红茶,2017/1/9 18:13,D,饮料,茶饮料
1.5,40g双汇玉米热狗肠,2017/1/9 18:19,D,非饮料,肉干/豆制品/蛋
2.0,怡宝纯净水,2017/1/9 18:34,D,饮料,水
4.0,银鹭八宝粥,2017/1/9 18:39,D,饮料,方便速食
3.0,果粒橙,2017/1/9 18:51,D,饮料,果蔬饮料
4.5,500ml加多宝,2017/1/9 21:07,D,饮料,茶饮料
3.0,熊字饼,2017/1/9 21:08,D,非饮料,饼干糕点
4.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/9 21:09,D,非饮料,饼干糕点
1.6,2g韩国海牌海苔,2017/1/9 21:11,D,非饮料,海味零食
3.5,东鹏特饮,2017/1/9 21:12,D,饮料,功能饮料
3.2,20g马来西亚风味咪咪蟹味粒0219,2017/1/9 21:23,D,非饮料,膨化食品
4.5,78g卫龙亲嘴语辣条,2017/1/9 21:24,D,非饮料,肉干/豆制品/蛋
1.6,2g韩国海牌海苔,2017/1/9 21:28,D,非饮料,海味零食
7.0,150g洽洽原香瓜子,2017/1/9 21:51,D,非饮料,坚果炒货
2.0,5片装益达绿箭口香糖,2017/1/9 21:52,D,非饮料,糖果/巧克力
6.0,86g合味道海鲜风味,2017/1/9 21:55,D,非饮料,方便速食
1.5,劲仔小鱼（麻辣味）,2017/1/9 23:36,D,非饮料,肉干/豆制品/蛋
5.5,268ml雀巢咖啡丝滑拿铁,2017/1/10 00:14,D,饮料,咖啡
3.0,伊利纯牛奶,2017/1/10 00:15,D,饮料,乳制品
3.0,果粒橙,2017/1/10 00:16,D,饮料,果蔬饮料
3.0,250ml维他原味豆奶,2017/1/10 00:30,D,饮料,植物蛋白
4.0,55g奥利奥原味芝士饼干,2017/1/10 00:52,D,非饮料,饼干糕点
3.0,雪碧最新款,2017/1/10 05:15,D,饮料,碳酸饮料
4.0,王老吉（罐）,2017/1/10 05:32,D,饮料,茶饮料
3.5,阿萨姆奶茶,2017/1/10 06:44,D,饮料,茶饮料
4.0,阿萨姆奶茶,2017/1/10 07:43,D,饮料,茶饮料
6.5,430g泰奇八宝粥,2017/1/10 07:44,D,非饮料,方便速食
6.0,370g泰奇八宝粥,2017/1/10 07:50,D,非饮料,方便速食
5.5,480ml小茗同学冷泡青柠红茶,2017/1/10 08:48,D,饮料,茶饮料
2.0,凤爪,2017/1/10 09:15,D,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘甜牛奶,2017/1/10 11:00,D,饮料,乳制品
4.5,250ml燕塘甜牛奶,2017/1/10 11:50,D,饮料,乳制品
4.0,营养快线,2017/1/10 11:52,D,饮料,乳制品
3.5,维他原味豆奶,2017/1/10 12:00,D,饮料,植物蛋白
3.0,百事可乐500ml,2017/1/10 12:04,D,饮料,碳酸饮料
4.0,55g奥利奥原味芝士饼干,2017/1/10 12:06,D,非饮料,饼干糕点
4.0,王老吉（500ml）,2017/1/10 12:09,D,饮料,茶饮料
2.0,凤爪,2017/1/10 12:13,D,非饮料,肉干/豆制品/蛋
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/10 12:47,D,非饮料,饼干糕点
4.5,78g卫龙亲嘴语辣条,2017/1/10 13:26,D,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/1/10 13:29,D,饮料,茶饮料
1.8,32g卫龙亲嘴烧,2017/1/10 13:50,D,非饮料,肉干/豆制品/蛋
10.0,口味王槟榔（绿）,2017/1/10 14:05,D,非饮料,蜜饯/果干
3.5,维他柠檬茶,2017/1/10 14:41,D,饮料,茶饮料
4.5,250ml燕塘红枣牛奶,2017/1/10 15:22,D,饮料,乳制品
1.5,40g双汇玉米热狗肠,2017/1/10 15:42,D,非饮料,肉干/豆制品/蛋
2.0,85g新麦潮北海道吐司,2017/1/10 15:44,D,非饮料,饼干糕点
3.5,85g新麦潮手撕面包（提子味）,2017/1/10 15:52,D,非饮料,饼干糕点
4.5,250ml燕塘原味酸奶,2017/1/10 17:05,D,饮料,乳制品
1.8,32g卫龙亲嘴烧,2017/1/10 17:29,D,非饮料,肉干/豆制品/蛋
1.0,香豆干,2017/1/10 17:33,D,非饮料,肉干/豆制品/蛋
3.0,美年达（罐）,2017/1/10 17:36,D,饮料,碳酸饮料
4.0,脉动,2017/1/10 17:40,D,饮料,功能饮料
4.0,450ml美汁源果粒橙,2017/1/10 17:46,D,饮料,果蔬饮料
4.5,40g乐事薯片黄瓜味,2017/1/10 17:50,D,非饮料,膨化食品
3.0,可口可乐最新款,2017/1/10 17:52,D,饮料,碳酸饮料
3.5,500ml统一冰糖雪梨,2017/1/10 17:53,D,饮料,果蔬饮料
1.2,10g卫龙亲嘴烧香辣味,2017/1/10 18:05,D,非饮料,肉干/豆制品/蛋
2.0,怡宝纯净水,2017/1/10 18:19,D,饮料,水
2.0,怡宝纯净水,2017/1/10 18:21,D,饮料,水
1.6,2g韩国海牌海苔,2017/1/10 18:35,D,非饮料,海味零食
3.0,250ml维他原味豆奶,2017/1/10 18:52,D,饮料,植物蛋白
6.5,430g泰奇八宝粥,2017/1/10 19:11,D,非饮料,方便速食
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/10 19:15,D,非饮料,饼干糕点
3.0,统一冰红茶,2017/1/10 19:18,D,饮料,茶饮料
7.0,150g洽洽原香瓜子,2017/1/10 19:46,D,非饮料,坚果炒货
3.0,40g双汇玉米热狗肠,2017/1/10 19:48,D,非饮料,肉干/豆制品/蛋
4.5,脉动,2017/1/10 19:58,D,饮料,功能饮料
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/10 20:08,D,非饮料,饼干糕点
3.0,印尼芝士威化饼干,2017/1/10 20:21,D,非饮料,饼干糕点
4.0,85g新麦潮北海道吐司,2017/1/10 21:14,D,非饮料,饼干糕点
1.5,12g劲仔小鱼麻辣味,2017/1/10 21:17,D,非饮料,肉干/豆制品/蛋
2.5,250ml王老吉盒装,2017/1/10 21:36,D,饮料,茶饮料
6.5,91g徐福记凤梨酥,2017/1/10 21:43,D,非饮料,饼干糕点
10.0,口味王槟榔（绿）,2017/1/10 22:17,D,非饮料,蜜饯/果干
4.5,250ml燕塘原味酸奶,2017/1/10 22:45,D,饮料,乳制品
6.0,480ml小茗同学冷泡溜溜哒茶,2017/1/10 23:21,D,饮料,茶饮料
1.6,20g咪咪虾条马来西亚风味,2017/1/10 23:22,D,非饮料,膨化食品
1.5,45g双汇泡面拍挡,2017/1/10 23:25,D,非饮料,肉干/豆制品/蛋
4.5,65g卫龙亲嘴豆皮,2017/1/10 23:38,D,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/1/11 00:27,D,非饮料,肉干/豆制品/蛋
4.0,55g奥利奥原味芝士饼干,2017/1/11 02:24,D,非饮料,饼干糕点
4.5,250ml燕塘红枣牛奶,2017/1/11 02:34,D,饮料,乳制品
3.5,阿萨姆奶茶,2017/1/11 02:40,D,饮料,茶饮料
6.0,86g合味道海鲜风味,2017/1/11 04:22,D,非饮料,方便速食
4.0,脉动,2017/1/11 04:33,D,饮料,功能饮料
1.5,40g双汇玉米热狗肠,2017/1/11 07:32,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/1/11 07:33,D,饮料,茶饮料
1.6,2g韩国海牌海苔,2017/1/11 07:38,D,非饮料,海味零食
4.5,68g好丽友巧克力派2枚,2017/1/15 22:38,D,非饮料,饼干糕点
2.5,145ml旺仔牛奶盒装,2017/1/16 14:28,D,饮料,乳制品
2.5,无穷农场盐_鸡蛋,2017/1/16 16:17,D,非饮料,肉干/豆制品/蛋
5.5,85g统一老坛酸菜牛肉面,2017/1/16 17:34,D,非饮料,方便速食
4.0,尖叫,2017/1/16 17:46,D,饮料,功能饮料
3.5,东鹏特饮,2017/1/16 17:47,D,饮料,功能饮料
3.0,250ml维他原味豆奶,2017/1/17 10:23,D,饮料,植物蛋白
10.0,口味王槟榔（绿）,2017/1/20 18:02,D,非饮料,蜜饯/果干
12.5,100g*5瓶益力多,2017/1/22 12:33,D,饮料,乳制品
4.5,180ml雀巢咖啡罐装,2017/1/22 14:28,D,饮料,咖啡
3.5,东鹏特饮,2017/1/23 16:20,D,饮料,功能饮料
4.5,65g卫龙亲嘴豆皮,2017/1/26 09:04,D,非饮料,肉干/豆制品/蛋
4.0,银鹭八宝粥,2017/1/26 09:04,D,饮料,方便速食
4.5,50g上好佳日式鱼果,2017/1/27 16:22,D,非饮料,膨化食品
4.0,银鹭八宝粥,2017/1/27 16:22,D,饮料,方便速食
3.0,250ml维他原味豆奶,2017/1/28 13:01,D,饮料,植物蛋白
3.0,统一冰红茶,2017/1/28 23:51,D,饮料,茶饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/29 08:50,D,非饮料,肉干/豆制品/蛋
4.0,银鹭八宝粥,2017/1/29 13:41,D,饮料,方便速食
3.0,40g双汇玉米热狗肠,2017/1/29 19:12,D,非饮料,肉干/豆制品/蛋
2.4,20g马来西亚风味咪咪蟹味粒0219,2017/1/29 19:40,D,非饮料,膨化食品
3.5,维他原味豆奶,2017/1/29 21:08,D,饮料,植物蛋白
2.0,85g新麦潮手撕面包（提子味）,2017/1/29 22:46,D,非饮料,饼干糕点
7.0,145g果王迷你山楂包装,2017/1/30 00:04,D,非饮料,蜜饯/果干
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/30 00:09,D,非饮料,饼干糕点
4.5,55g奥利奥原味芝士饼干,2017/1/30 00:15,D,非饮料,饼干糕点
1.2,10g卫龙亲嘴烧香辣味,2017/1/30 08:56,D,非饮料,肉干/豆制品/蛋
3.5,600ml可口可乐,2017/1/30 09:27,D,饮料,碳酸饮料
4.5,40g双汇玉米热狗肠,2017/1/30 12:21,D,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/1/30 14:14,D,饮料,功能饮料
6.0,370g泰奇八宝粥,2017/1/30 14:50,D,非饮料,方便速食
1.0,小鱼仔,2017/1/30 16:09,D,非饮料,海味零食
4.5,阿萨姆奶茶,2017/1/30 16:33,D,饮料,茶饮料
4.0,150g健能酸奶原味,2017/1/30 16:38,D,饮料,乳制品
1.5,鸭翅,2017/1/30 16:44,D,非饮料,肉干/豆制品/蛋
4.5,50g上好佳田园薯片番茄味,2017/1/30 18:26,D,非饮料,膨化食品
3.5,乖媳妇野山椒风爪,2017/1/30 18:40,D,非饮料,肉干/豆制品/蛋
3.0,印尼芝士威化饼干,2017/1/30 19:27,D,非饮料,饼干糕点
1.5,鸭翅,2017/1/30 20:09,D,非饮料,肉干/豆制品/蛋
1.0,小鱼仔,2017/1/30 20:50,D,非饮料,海味零食
4.0,营养快线,2017/1/30 20:52,D,饮料,乳制品
3.0,印尼芝士威化饼干,2017/1/30 21:07,D,非饮料,饼干糕点
4.5,250ml燕塘原味酸奶,2017/1/30 21:35,D,饮料,乳制品
2.0,怡宝纯净水,2017/1/30 21:35,D,饮料,水
4.0,150g健能酸奶原味,2017/1/30 22:39,D,饮料,乳制品
4.5,250ml燕塘红枣牛奶,2017/1/30 22:59,D,饮料,乳制品
4.0,营养快线,2017/1/31 14:34,D,饮料,乳制品
3.0,可口可乐（500ml）,2017/1/31 14:41,D,饮料,碳酸饮料
1.5,香脆肠,2017/1/31 14:51,D,非饮料,肉干/豆制品/蛋
3.0,统一冰红茶,2017/1/31 14:52,D,饮料,茶饮料
3.0,统一绿茶,2017/1/31 15:00,D,饮料,茶饮料
1.5,香脆肠,2017/1/31 15:08,D,非饮料,肉干/豆制品/蛋
3.0,雪碧最新款,2017/1/31 15:13,D,饮料,碳酸饮料
3.0,雪碧最新款,2017/1/31 15:17,D,饮料,碳酸饮料
1.0,小鱼仔,2017/1/31 15:28,D,非饮料,海味零食
3.0,统一绿茶,2017/1/31 15:35,D,饮料,茶饮料
1.5,香脆肠,2017/1/31 16:45,D,非饮料,肉干/豆制品/蛋
1.5,鸭翅,2017/1/31 17:20,D,非饮料,肉干/豆制品/蛋
1.5,香豆干,2017/1/31 17:33,D,非饮料,肉干/豆制品/蛋
3.0,统一绿茶,2017/1/31 19:34,D,饮料,茶饮料
3.0,雪碧（500ml）,2017/1/31 19:56,D,饮料,碳酸饮料
1.5,香脆肠,2017/1/31 20:15,D,非饮料,肉干/豆制品/蛋
1.5,香脆肠,2017/1/31 20:16,D,非饮料,肉干/豆制品/蛋
3.0,雪碧最新款,2017/1/31 21:29,D,饮料,碳酸饮料
3.0,熊字饼,2017/1/31 22:57,D,非饮料,饼干糕点
3.0,统一冰红茶,2017/1/31 23:10,D,饮料,茶饮料
2.5,怡宝纯净水,2017/2/1 12:33,D,饮料,水
3.0,熊字饼,2017/2/1 12:37,D,非饮料,饼干糕点
2.0,香脆肠,2017/2/1 13:57,D,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/1 14:31,D,饮料,茶饮料
1.0,小鱼仔,2017/2/1 14:42,D,非饮料,海味零食
3.0,茉莉蜜茶,2017/2/1 14:57,D,饮料,茶饮料
2.0,怡宝纯净水,2017/2/1 16:00,D,饮料,水
2.5,怡宝纯净水,2017/2/1 17:35,D,饮料,水
3.5,东鹏特饮,2017/2/1 21:09,D,饮料,功能饮料
3.5,东鹏特饮,2017/2/1 21:47,D,饮料,功能饮料
2.5,伊利优酸乳,2017/2/1 21:50,D,饮料,乳制品
2.0,鸭翅,2017/2/2 09:10,D,非饮料,肉干/豆制品/蛋
3.5,可乐可乐,2017/2/2 12:14,D,饮料,碳酸饮料
15.0,口味王槟榔（红）,2017/2/2 12:14,D,非饮料,蜜饯/果干
3.0,可口可乐（500ml）,2017/2/2 14:04,D,饮料,碳酸饮料
2.0,怡宝纯净水,2017/2/2 14:25,D,饮料,水
3.5,维他原味豆奶,2017/2/2 14:42,D,饮料,植物蛋白
1.0,香豆干,2017/2/2 14:42,D,非饮料,肉干/豆制品/蛋
3.0,伊利纯牛奶,2017/2/2 19:13,D,饮料,乳制品
3.0,可口可乐（500ml）,2017/2/2 20:30,D,饮料,碳酸饮料
1.0,咪咪,2017/2/2 21:12,D,非饮料,膨化食品
4.5,78g卫龙亲嘴语辣条,2017/2/2 21:13,D,非饮料,肉干/豆制品/蛋
3.0,维他奶,2017/2/2 21:13,D,饮料,植物蛋白
3.5,东鹏特饮,2017/2/2 21:18,D,饮料,功能饮料
3.5,东鹏特饮,2017/2/2 21:19,D,饮料,功能饮料
3.0,可口可乐（500ml）,2017/2/2 22:01,D,饮料,碳酸饮料
4.0,营养快线,2017/2/2 22:34,D,饮料,乳制品
3.0,可口可乐最新款,2017/2/3 16:04,D,饮料,碳酸饮料
3.0,可口可乐最新款,2017/2/3 19:32,D,饮料,碳酸饮料
3.0,可口可乐（500ml）,2017/2/3 20:35,D,饮料,碳酸饮料
4.0,王老吉（500ml）,2017/2/3 20:39,D,饮料,茶饮料
3.5,东鹏特饮,2017/2/4 09:27,D,饮料,功能饮料
3.0,统一冰红茶,2017/2/4 12:08,D,饮料,茶饮料
1.5,香脆肠,2017/2/4 13:08,D,非饮料,肉干/豆制品/蛋
3.0,统一冰红茶,2017/2/4 14:12,D,饮料,茶饮料
4.0,脉动,2017/2/4 15:52,D,饮料,功能饮料
2.5,怡宝纯净水,2017/2/4 16:00,D,饮料,水
4.0,脉动,2017/2/4 16:32,D,饮料,功能饮料
3.0,伊利纯牛奶,2017/2/4 17:02,D,饮料,乳制品
2.5,伊利优酸乳,2017/2/4 17:41,D,饮料,乳制品
1.5,鸭翅,2017/2/4 19:00,D,非饮料,肉干/豆制品/蛋
1.0,香豆干,2017/2/4 19:07,D,非饮料,肉干/豆制品/蛋
3.0,果粒橙,2017/2/4 19:18,D,饮料,果蔬饮料
4.0,王老吉（500ml）,2017/2/4 19:51,D,饮料,茶饮料
3.5,王老吉（罐）,2017/2/4 20:22,D,饮料,茶饮料
1.0,香豆干,2017/2/4 20:32,D,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/2/5 09:10,D,非饮料,肉干/豆制品/蛋
3.5,冰糖雪梨,2017/2/5 09:14,D,饮料,果蔬饮料
5.0,500ml统一阿萨姆奶茶,2017/2/5 14:29,D,饮料,茶饮料
3.5,东鹏特饮,2017/2/5 14:29,D,饮料,功能饮料
3.5,东鹏特饮,2017/2/5 14:55,D,饮料,功能饮料
4.0,营养快线,2017/2/5 14:59,D,饮料,乳制品
3.0,伊利纯牛奶,2017/2/5 15:03,D,饮料,乳制品
2.0,怡宝,2017/2/5 15:20,D,饮料,水
3.0,卫龙大面筋,2017/2/5 15:55,D,非饮料,肉干/豆制品/蛋
1.5,鸭翅,2017/2/5 16:31,D,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/5 17:41,D,饮料,茶饮料
4.0,阿萨姆奶茶,2017/2/5 18:14,D,饮料,茶饮料
2.5,伊利优酸乳,2017/2/5 18:38,D,饮料,乳制品
1.0,香豆干,2017/2/5 20:03,D,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/5 21:05,D,饮料,茶饮料
3.5,东鹏特饮,2017/2/5 21:35,D,饮料,功能饮料
10.0,湘潭铺子(羽泉版),2017/2/7 08:50,D,非饮料,蜜饯/果干
3.5,王老吉（罐）,2017/2/7 08:59,D,饮料,茶饮料
3.0,雪碧（500ml）,2017/2/7 09:02,D,饮料,碳酸饮料
1.0,香豆干,2017/2/7 09:04,D,非饮料,肉干/豆制品/蛋
3.0,汤达人桶面,2017/2/7 16:27,D,非饮料,方便速食
2.0,怡宝纯净水,2017/2/7 20:35,D,饮料,水
3.0,茉莉蜜茶,2017/2/7 23:03,D,饮料,茶饮料
3.0,统一绿茶,2017/2/7 23:05,D,饮料,茶饮料
3.0,统一冰红茶,2017/2/8 16:08,D,饮料,茶饮料
2.5,怡宝纯净水,2017/2/8 16:37,D,饮料,水
3.0,可口可乐（500ml）,2017/2/8 17:27,D,饮料,碳酸饮料
3.0,雪碧最新款,2017/2/10 13:19,D,饮料,碳酸饮料
3.0,可口可乐最新款,2017/2/10 14:36,D,饮料,碳酸饮料
3.0,可口可乐最新款,2017/2/11 14:41,D,饮料,碳酸饮料
4.0,脉动,2017/2/11 18:59,D,饮料,功能饮料
1.0,香脆肠,2017/2/14 12:22,D,非饮料,肉干/豆制品/蛋
1.0,香脆肠,2017/2/14 12:41,D,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/2/15 10:39,D,非饮料,肉干/豆制品/蛋
2.5,维他柠檬茶,2017/2/16 10:55,D,饮料,茶饮料
3.0,可口可乐最新款,2017/2/16 10:56,D,饮料,碳酸饮料
3.0,可口可乐（500ml）,2017/2/16 10:59,D,饮料,碳酸饮料
3.0,维他柠檬茶,2017/2/16 14:19,D,饮料,茶饮料
3.0,统一冰红茶,2017/2/16 15:09,D,饮料,茶饮料
4.0,银鹭八宝粥,2017/2/16 17:37,D,饮料,方便速食
1.0,香脆肠,2017/2/16 19:01,D,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/2/17 01:17,D,饮料,茶饮料
1.0,香脆肠,2017/2/17 03:35,D,非饮料,肉干/豆制品/蛋
3.0,统一绿茶,2017/2/17 05:54,D,饮料,茶饮料
3.0,统一绿茶,2017/2/17 17:09,D,饮料,茶饮料
2.5,伊利优酸乳,2017/2/17 17:10,D,饮料,乳制品
3.0,可口可乐最新款,2017/2/17 17:12,D,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/17 17:13,D,饮料,功能饮料
2.0,怡宝,2017/2/18 00:27,D,饮料,水
3.0,可口可乐最新款,2017/2/18 00:28,D,饮料,碳酸饮料
3.5,东鹏特饮,2017/2/18 09:38,D,饮料,功能饮料
3.0,果粒橙,2017/2/18 14:24,D,饮料,果蔬饮料
3.0,果粒橙,2017/2/18 15:53,D,饮料,果蔬饮料
3.0,统一冰红茶,2017/2/18 17:15,D,饮料,茶饮料
3.0,统一绿茶,2017/2/18 22:26,D,饮料,茶饮料
3.0,维他柠檬茶,2017/2/19 12:17,D,饮料,茶饮料
3.0,可口可乐（500ml）,2017/2/19 14:39,D,饮料,碳酸饮料
3.0,可口可乐最新款,2017/2/19 16:40,D,饮料,碳酸饮料
3.5,王老吉（罐）,2017/2/19 16:44,D,饮料,茶饮料
3.0,统一冰红茶,2017/2/20 09:16,D,饮料,茶饮料
3.0,统一冰红茶,2017/2/20 11:14,D,饮料,茶饮料
4.0,脉动,2017/2/20 13:34,D,饮料,功能饮料
