金额,商品,支付时间,地点,商品大类,商品二级类
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/8 21:20,A,非饮料,饼干糕点
4.0,营养快线,2017/1/8 21:21,A,饮料,乳制品
5.0,85g统一老坛酸菜牛肉面,2017/1/8 21:23,A,非饮料,方便速食
3.0,雪碧最新款,2017/1/8 21:24,A,饮料,碳酸饮料
3.5,东鹏特饮,2017/1/8 21:26,A,饮料,功能饮料
1.8,32g卫龙亲嘴烧,2017/1/8 21:31,A,非饮料,肉干/豆制品/蛋
4.8,诗竹竹纤维面巾纸,2017/1/8 21:32,A,非饮料,纸巾
0.8,20g咪咪虾条马来西亚风味,2017/1/8 21:43,A,非饮料,膨化食品
2.0,85g新麦潮北海道吐司,2017/1/8 21:44,A,非饮料,饼干糕点
6.5,70g乐事薯片原味,2017/1/8 21:53,A,非饮料,膨化食品
3.0,卫龙大面筋,2017/1/8 21:56,A,非饮料,肉干/豆制品/蛋
18.0,260g马来西亚进口茱蒂丝口口香饼干,2017/1/8 22:42,A,非饮料,饼干糕点
2.5,30g无穷农场盐_鸡蛋,2017/1/8 22:46,A,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/1/8 23:14,A,非饮料,肉干/豆制品/蛋
5.0,500ml统一阿萨姆奶茶,2017/1/8 23:24,A,饮料,茶饮料
4.5,500ml加多宝,2017/1/8 23:35,A,饮料,茶饮料
6.5,430g泰奇八宝粥,2017/1/9 00:03,A,非饮料,方便速食
4.0,55g奥利奥原味芝士饼干,2017/1/9 00:06,A,非饮料,饼干糕点
3.0,果粒橙,2017/1/9 00:07,A,饮料,果蔬饮料
6.0,86g合味道海鲜风味,2017/1/9 00:19,A,非饮料,方便速食
4.5,50g上好佳日式鱼果,2017/1/9 00:21,A,非饮料,膨化食品
4.5,50g双层百力滋奶咖味,2017/1/9 00:34,A,非饮料,饼干糕点
6.5,250ml红牛,2017/1/9 02:06,A,饮料,功能饮料
3.0,统一冰红茶,2017/1/9 02:44,A,饮料,茶饮料
3.0,果粒橙,2017/1/9 03:08,A,饮料,果蔬饮料
1.5,45g双汇泡面拍挡,2017/1/9 05:01,A,非饮料,肉干/豆制品/蛋
4.5,燕塘红枣牛奶,2017/1/9 07:39,A,饮料,乳制品
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/9 09:02,A,非饮料,饼干糕点
3.0,可口可乐最新款,2017/1/9 09:46,A,饮料,碳酸饮料
2.0,10g越南LIPO奶味面包干,2017/1/9 10:45,A,非饮料,饼干糕点
6.0,330ml伊利畅意乳酸菌原味,2017/1/9 11:11,A,饮料,乳制品
7.5,雀巢咖啡,2017/1/9 11:59,A,饮料,咖啡
4.0,阿萨姆奶茶,2017/1/9 12:04,A,饮料,茶饮料
6.0,红牛,2017/1/9 12:06,A,饮料,功能饮料
6.0,370g泰奇八宝粥,2017/1/9 12:08,A,非饮料,方便速食
1.5,鸭翅,2017/1/9 12:19,A,非饮料,肉干/豆制品/蛋
4.0,乐虎（380ml）,2017/1/9 12:20,A,饮料,功能饮料
2.5,凤爪,2017/1/9 12:23,A,非饮料,肉干/豆制品/蛋
3.0,果粒橙,2017/1/9 13:08,A,饮料,果蔬饮料
3.0,250ml维他柠檬茶,2017/1/9 13:27,A,饮料,茶饮料
3.0,250ml维他柠檬茶,2017/1/9 13:47,A,饮料,茶饮料
4.0,新麦潮天然酵母面包,2017/1/9 14:12,A,非饮料,饼干糕点
3.5,东鹏特饮,2017/1/9 14:47,A,饮料,功能饮料
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/9 15:03,A,非饮料,饼干糕点
3.0,百事可乐500ml,2017/1/9 15:17,A,饮料,碳酸饮料
6.0,330ml伊利畅意乳酸菌原味,2017/1/9 15:24,A,饮料,乳制品
4.5,脉动,2017/1/9 15:30,A,饮料,功能饮料
1.5,香脆肠,2017/1/9 15:32,A,非饮料,肉干/豆制品/蛋
1.5,40g双汇玉米热狗肠,2017/1/9 15:38,A,非饮料,肉干/豆制品/蛋
1.5,40g双汇玉米热狗肠,2017/1/9 16:22,A,非饮料,肉干/豆制品/蛋
1.5,鸭翅,2017/1/9 16:25,A,非饮料,肉干/豆制品/蛋
5.5,268ml雀巢咖啡丝滑拿铁,2017/1/9 16:38,A,饮料,咖啡
1.5,鸭翅,2017/1/9 16:38,A,非饮料,肉干/豆制品/蛋
1.5,12g劲仔小鱼卤香味,2017/1/9 16:39,A,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/1/9 17:16,A,饮料,功能饮料
6.0,86g合味道海鲜风味,2017/1/9 17:17,A,非饮料,方便速食
4.5,250ML东鹏特饮,2017/1/9 17:18,A,饮料,功能饮料
3.0,伊利纯牛奶,2017/1/9 17:26,A,饮料,乳制品
4.0,银鹭八宝粥,2017/1/9 17:34,A,饮料,方便速食
3.0,40g双汇玉米热狗肠,2017/1/9 17:36,A,非饮料,肉干/豆制品/蛋
4.0,王老吉（500ml）,2017/1/9 17:40,A,饮料,茶饮料
3.5,维他奶黑豆奶饮品,2017/1/9 17:52,A,饮料,植物蛋白
1.5,40g双汇玉米热狗肠,2017/1/9 17:55,A,非饮料,肉干/豆制品/蛋
4.0,王老吉（500ml）,2017/1/9 18:05,A,饮料,茶饮料
4.0,阿萨姆奶茶,2017/1/9 18:13,A,饮料,茶饮料
3.0,40g双汇玉米热狗肠,2017/1/9 19:04,A,非饮料,肉干/豆制品/蛋
3.0,雪碧（500ml）,2017/1/9 20:56,A,饮料,碳酸饮料
4.0,450ml美汁源果粒橙,2017/1/9 20:59,A,饮料,果蔬饮料
1.0,小鱼仔,2017/1/9 20:59,A,非饮料,海味零食
25.0,芙蓉王,2017/1/9 21:08,A,非饮料,香烟
2.0,怡宝纯净水,2017/1/9 21:13,A,饮料,水
2.0,怡宝纯净水,2017/1/9 21:27,A,饮料,水
4.0,脉动,2017/1/9 21:29,A,饮料,功能饮料
3.0,可口可乐最新款,2017/1/9 21:31,A,饮料,碳酸饮料
3.5,冰糖雪梨,2017/1/9 21:37,A,饮料,果蔬饮料
3.0,雪碧（500ml）,2017/1/9 21:39,A,饮料,碳酸饮料
4.0,阿萨姆奶茶,2017/1/9 21:46,A,饮料,茶饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/9 21:53,A,非饮料,肉干/豆制品/蛋
4.5,50g上好佳田园薯片番茄味,2017/1/9 22:06,A,非饮料,膨化食品
4.5,600ml脉动青柠,2017/1/9 22:13,A,饮料,功能饮料
3.0,百事可乐500ml,2017/1/9 23:13,A,饮料,碳酸饮料
4.0,阿萨姆奶茶,2017/1/9 23:33,A,饮料,茶饮料
4.0,阿萨姆奶茶,2017/1/9 23:37,A,饮料,茶饮料
1.5,钙芝奶酪味高钙威化饼干,2017/1/10 00:09,A,非饮料,饼干糕点
4.0,脉动,2017/1/10 00:15,A,饮料,功能饮料
15.0,口味王槟榔（红）,2017/1/10 00:22,A,非饮料,蜜饯/果干
4.5,250ml燕塘甜牛奶,2017/1/10 00:34,A,饮料,乳制品
2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/10 01:10,A,非饮料,饼干糕点
4.5,40g双汇玉米热狗肠,2017/1/10 02:30,A,非饮料,肉干/豆制品/蛋
2.5,30g元朗小蛋卷,2017/1/10 02:42,A,非饮料,饼干糕点
6.5,430g泰奇八宝粥,2017/1/10 03:46,A,非饮料,方便速食
2.5,30g无穷农场盐_鸡蛋,2017/1/10 04:17,A,非饮料,肉干/豆制品/蛋
1.5,40g双汇玉米热狗肠,2017/1/10 04:32,A,非饮料,肉干/豆制品/蛋
2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/10 05:42,A,非饮料,饼干糕点
3.0,果粒橙,2017/1/10 07:46,A,饮料,果蔬饮料
4.0,55g奥利奥原味芝士饼干,2017/1/10 08:06,A,非饮料,饼干糕点
2.0,鸭翅,2017/1/10 08:15,A,非饮料,肉干/豆制品/蛋
5.5,55g奥利奥迷你杯夹心小饼干杯装原味,2017/1/10 08:16,A,非饮料,饼干糕点
4.0,55g奥利奥原味芝士饼干,2017/1/10 08:26,A,非饮料,饼干糕点
3.0,250ml维他原味豆奶,2017/1/10 08:50,A,饮料,植物蛋白
6.0,330ml伊利畅意乳酸菌原味,2017/1/10 08:55,A,饮料,乳制品
3.0,伊利纯牛奶,2017/1/10 09:20,A,饮料,乳制品
3.0,卫龙大面筋,2017/1/10 09:45,A,非饮料,肉干/豆制品/蛋
4.5,40g呀土豆番茄酱味,2017/1/10 10:00,A,非饮料,膨化食品
7.0,150g洽洽原香瓜子,2017/1/10 10:06,A,非饮料,坚果炒货
3.5,85g新麦潮手撕面包（提子味）,2017/1/10 10:10,A,非饮料,饼干糕点
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/10 10:25,A,非饮料,肉干/豆制品/蛋
3.0,雪碧（500ml）,2017/1/10 10:26,A,饮料,碳酸饮料
6.0,86g合味道海鲜风味,2017/1/10 10:59,A,非饮料,方便速食
3.0,无穷烤鸡小腿（蜂蜜）,2017/1/10 11:37,A,非饮料,肉干/豆制品/蛋
3.0,伊利纯牛奶,2017/1/10 11:51,A,饮料,乳制品
2.5,145ml旺仔牛奶盒装,2017/1/10 13:00,A,饮料,乳制品
2.0,鸭翅,2017/1/10 13:01,A,非饮料,肉干/豆制品/蛋
4.0,王老吉（500ml）,2017/1/10 13:18,A,饮料,茶饮料
25.0,芙蓉王,2017/1/10 13:36,A,非饮料,香烟
3.5,统一绿茶,2017/1/10 14:50,A,饮料,茶饮料
5.0,110g顺宝九制话梅,2017/1/10 14:51,A,非饮料,蜜饯/果干
3.0,百事可乐500ml,2017/1/10 14:55,A,饮料,碳酸饮料
4.5,52g旺旺仙贝,2017/1/10 14:56,A,非饮料,膨化食品
4.0,营养快线,2017/1/10 15:24,A,饮料,乳制品
3.0,统一绿茶,2017/1/10 15:34,A,饮料,茶饮料
4.5,250ml燕塘原味酸奶,2017/1/10 15:45,A,饮料,乳制品
5.0,85g统一老坛酸菜牛肉面,2017/1/10 15:59,A,非饮料,方便速食
3.0,70g乖媳妇野山泡椒凤爪,2017/1/10 16:22,A,非饮料,肉干/豆制品/蛋
1.0,好吃点小饼干,2017/1/10 16:28,A,非饮料,饼干糕点
3.0,劲仔小鱼（麻辣味）,2017/1/10 16:52,A,非饮料,肉干/豆制品/蛋
1.6,2g韩国海牌海苔,2017/1/10 17:12,A,非饮料,海味零食
3.5,东鹏特饮,2017/1/10 17:31,A,饮料,功能饮料
4.0,55g奥利奥原味芝士饼干,2017/1/10 17:32,A,非饮料,饼干糕点
3.0,统一冰红茶,2017/1/10 17:32,A,饮料,茶饮料
3.0,雪碧（500ml）,2017/1/10 17:36,A,饮料,碳酸饮料
1.5,劲仔小鱼,2017/1/10 17:38,A,非饮料,肉干/豆制品/蛋
6.0,安慕希酸奶,2017/1/10 17:39,A,饮料,乳制品
3.0,雪碧（500ml）,2017/1/10 17:40,A,饮料,碳酸饮料
1.5,香脆肠,2017/1/10 17:44,A,非饮料,肉干/豆制品/蛋
6.0,107g出前一丁桶面酱香牛肉王,2017/1/10 18:14,A,非饮料,方便速食
6.5,100g果王咸柑桔罐装,2017/1/10 18:28,A,非饮料,蜜饯/果干
1.5,40g双汇玉米热狗肠,2017/1/10 18:49,A,非饮料,肉干/豆制品/蛋
4.5,营养快线,2017/1/10 19:13,A,饮料,乳制品
6.0,红牛,2017/1/10 19:16,A,饮料,功能饮料
4.0,银鹭八宝粥,2017/1/10 19:47,A,饮料,方便速食
4.0,85g新麦潮北海道吐司,2017/1/10 20:10,A,非饮料,饼干糕点
6.0,多芙利香草奶油味蛋糕,2017/1/10 20:15,A,非饮料,饼干糕点
3.0,雪碧最新款,2017/1/10 20:16,A,饮料,碳酸饮料
5.5,268ml雀巢咖啡丝滑拿铁,2017/1/10 20:25,A,饮料,咖啡
3.0,250ml维他原味豆奶,2017/1/10 20:52,A,饮料,植物蛋白
3.0,250ml维他柠檬茶,2017/1/10 20:53,A,饮料,茶饮料
5.5,205g伊利安慕希原味,2017/1/10 21:12,A,饮料,乳制品
4.5,250ml燕塘原味酸奶,2017/1/10 21:58,A,饮料,乳制品
3.6,32g卫龙亲嘴烧,2017/1/10 22:11,A,非饮料,肉干/豆制品/蛋
4.5,600ml脉动青柠,2017/1/10 22:16,A,饮料,功能饮料
6.0,红牛,2017/1/10 22:17,A,饮料,功能饮料
4.0,营养快线,2017/1/10 22:25,A,饮料,乳制品
4.8,150抽诗竹竹纤维面巾纸,2017/1/10 22:28,A,非饮料,纸巾
4.5,52g旺旺仙贝,2017/1/10 22:39,A,非饮料,膨化食品
2.5,伊利优酸乳,2017/1/10 22:42,A,饮料,乳制品
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/10 23:04,A,非饮料,肉干/豆制品/蛋
4.5,40g上好佳日式鱼果,2017/1/10 23:35,A,非饮料,膨化食品
1.6,2g韩国海牌海苔,2017/1/11 00:06,A,非饮料,海味零食
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/11 00:14,A,非饮料,肉干/豆制品/蛋
8.0,80g四洲粟一烧烧烤味,2017/1/11 00:19,A,非饮料,膨化食品
4.0,85g新麦潮北海道吐司,2017/1/11 02:36,A,非饮料,饼干糕点
6.0,红牛,2017/1/11 02:40,A,饮料,功能饮料
4.5,250ml燕塘红枣牛奶,2017/1/11 02:41,A,饮料,乳制品
1.8,32g卫龙亲嘴烧红烧牛肉味,2017/1/11 04:12,A,非饮料,肉干/豆制品/蛋
2.0,85g新麦潮北海道吐司,2017/1/11 04:30,A,非饮料,饼干糕点
2.5,可口可乐330ml,2017/1/11 04:32,A,饮料,碳酸饮料
5.5,268ml雀巢咖啡丝滑拿铁,2017/1/11 04:33,A,饮料,咖啡
4.0,脉动,2017/1/11 04:33,A,饮料,功能饮料
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/11 04:34,A,非饮料,肉干/豆制品/蛋
3.0,熊字饼,2017/1/11 04:56,A,非饮料,饼干糕点
3.0,统一冰红茶,2017/1/11 04:57,A,饮料,茶饮料
1.5,45g双汇泡面拍挡,2017/1/11 07:15,A,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/1/11 07:23,A,非饮料,肉干/豆制品/蛋
1.0,香豆干,2017/1/11 16:51,A,非饮料,肉干/豆制品/蛋
6.5,70g乐事薯片黄瓜味,2017/1/11 18:13,A,非饮料,膨化食品
3.5,70g乖媳妇野山泡椒凤爪,2017/1/15 15:08,A,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘红枣牛奶,2017/1/15 15:23,A,饮料,乳制品
4.0,阿萨姆奶茶,2017/1/16 16:30,A,饮料,茶饮料
1.8,32g卫龙亲嘴烧,2017/1/16 16:54,A,非饮料,肉干/豆制品/蛋
2.5,30g元朗小蛋卷,2017/1/16 17:40,A,非饮料,饼干糕点
4.0,脉动,2017/1/16 17:47,A,饮料,功能饮料
4.5,78g卫龙亲嘴语辣条,2017/1/16 17:51,A,非饮料,肉干/豆制品/蛋
5.5,103g康师傅红烧牛肉面,2017/1/16 18:57,A,非饮料,方便速食
2.0,10g越南LIPO奶味面包干0015,2017/1/17 13:09,A,非饮料,饼干糕点
1.5,鸭翅,2017/1/20 18:02,A,非饮料,肉干/豆制品/蛋
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/21 15:43,A,非饮料,肉干/豆制品/蛋
4.5,50g双层百力滋特浓番茄味,2017/1/21 18:05,A,非饮料,饼干糕点
4.5,40g乐事薯片黄瓜味,2017/1/22 08:03,A,非饮料,膨化食品
4.0,450ml美汁源果粒橙,2017/1/22 08:05,A,饮料,果蔬饮料
3.0,维他奶,2017/1/23 16:20,A,饮料,植物蛋白
3.0,250ml维他柠檬茶,2017/1/25 11:03,A,饮料,茶饮料
4.0,银鹭八宝粥,2017/1/25 11:03,A,饮料,方便速食
6.0,86g合味道海鲜风味,2017/1/26 12:50,A,非饮料,方便速食
3.0,12g劲仔小鱼麻辣味,2017/1/26 13:01,A,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/1/26 16:35,A,饮料,功能饮料
3.0,250ml维他原味豆奶,2017/1/26 22:43,A,饮料,植物蛋白
1.5,40g双汇玉米热狗肠,2017/1/27 01:31,A,非饮料,肉干/豆制品/蛋
2.0,85g新麦潮北海道吐司,2017/1/27 16:10,A,非饮料,饼干糕点
4.0,银鹭八宝粥,2017/1/27 16:14,A,饮料,方便速食
4.0,55g奥利奥原味芝士饼干,2017/1/27 16:19,A,非饮料,饼干糕点
3.0,可口可乐（500ml）,2017/1/27 16:22,A,饮料,碳酸饮料
4.5,55g奥利奥原味夹心饼干,2017/1/28 21:21,A,非饮料,饼干糕点
3.0,70g乖媳妇野山泡椒凤爪,2017/1/29 00:17,A,非饮料,肉干/豆制品/蛋
3.0,40g双汇玉米热狗肠,2017/1/29 11:13,A,非饮料,肉干/豆制品/蛋
1.5,12g劲仔小鱼麻辣味,2017/1/29 13:43,A,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/1/29 15:51,A,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/1/29 18:12,A,非饮料,肉干/豆制品/蛋
5.0,110g顺宝九制话梅,2017/1/29 18:17,A,非饮料,蜜饯/果干
4.0,日式鱼果,2017/1/29 20:33,A,非饮料,膨化食品
4.5,78g卫龙亲嘴语辣条,2017/1/29 22:54,A,非饮料,肉干/豆制品/蛋
6.0,120g达利园蔓越莓提子面包,2017/1/29 23:17,A,非饮料,饼干糕点
13.0,56g益达无糖口香糖,2017/1/29 23:19,A,非饮料,糖果/巧克力
3.0,40g双汇玉米热狗肠,2017/1/30 00:06,A,非饮料,肉干/豆制品/蛋
4.0,脉动,2017/1/30 00:17,A,饮料,功能饮料
4.0,脉动,2017/1/30 02:49,A,饮料,功能饮料
6.5,148g富甲一方紫薯仔,2017/1/30 07:41,A,非饮料,蜜饯/果干
1.8,32g卫龙亲嘴烧,2017/1/30 07:55,A,非饮料,肉干/豆制品/蛋
3.0,雪碧（500ml）,2017/1/30 08:11,A,饮料,碳酸饮料
3.0,250ml维他原味豆奶,2017/1/30 10:07,A,饮料,植物蛋白
4.8,诗竹竹纤维面巾纸,2017/1/30 10:44,A,非饮料,纸巾
3.0,卫龙大面筋,2017/1/30 12:04,A,非饮料,肉干/豆制品/蛋
3.0,雪碧（500ml）,2017/1/30 12:10,A,饮料,碳酸饮料
4.0,银鹭八宝粥,2017/1/30 12:22,A,饮料,方便速食
6.0,安慕希酸奶,2017/1/30 12:24,A,饮料,乳制品
1.5,卫龙亲嘴烧麦辣鸡汁味,2017/1/30 13:37,A,非饮料,肉干/豆制品/蛋
3.0,维他柠檬茶,2017/1/30 16:08,A,饮料,茶饮料
1.0,小鱼仔,2017/1/30 16:33,A,非饮料,海味零食
3.2,2g韩国海牌海苔,2017/1/30 18:01,A,非饮料,海味零食
1.5,卫龙亲嘴烧红烧牛肉味,2017/1/30 18:03,A,非饮料,肉干/豆制品/蛋
12.5,100g*5瓶益力多,2017/1/30 18:12,A,饮料,乳制品
6.5,70g乐事薯片黄瓜味,2017/1/30 18:20,A,非饮料,膨化食品
4.5,78g卫龙亲嘴语辣条,2017/1/30 18:35,A,非饮料,肉干/豆制品/蛋
3.0,250ml维他奶低糖原味,2017/1/30 19:27,A,饮料,植物蛋白
1.5,鸭翅,2017/1/30 19:27,A,非饮料,肉干/豆制品/蛋
1.6,20g咪咪虾条马来西亚风味,2017/1/30 20:03,A,非饮料,膨化食品
4.0,银鹭八宝粥,2017/1/30 20:09,A,饮料,方便速食
1.0,小鱼仔,2017/1/30 20:52,A,非饮料,海味零食
4.5,500ml加多宝,2017/1/30 20:53,A,饮料,茶饮料
1.5,鸭翅,2017/1/30 20:53,A,非饮料,肉干/豆制品/蛋
5.8,205ml安慕希蓝莓味,2017/1/30 21:03,A,饮料,乳制品
3.0,卫龙大面筋,2017/1/30 21:07,A,非饮料,肉干/豆制品/蛋
6.0,86g合味道海鲜风味,2017/1/30 21:35,A,非饮料,方便速食
2.0,怡宝纯净水,2017/1/30 21:35,A,饮料,水
2.0,雪力矿泉水,2017/1/31 14:54,A,饮料,水
2.0,怡宝纯净水,2017/1/31 14:58,A,饮料,水
3.0,百事可乐500ml,2017/1/31 15:23,A,饮料,碳酸饮料
3.0,百事可乐500ml,2017/1/31 15:37,A,饮料,碳酸饮料
3.0,百事可乐500ml,2017/1/31 16:17,A,饮料,碳酸饮料
3.5,阿萨姆奶茶,2017/1/31 16:32,A,饮料,茶饮料
2.0,怡宝,2017/1/31 16:51,A,饮料,水
15.0,口味王槟榔（红）,2017/1/31 17:07,A,非饮料,蜜饯/果干
3.5,东鹏特饮,2017/1/31 20:17,A,饮料,功能饮料
3.0,雪碧（500ml）,2017/1/31 21:23,A,饮料,碳酸饮料
1.0,香豆干,2017/1/31 21:36,A,非饮料,肉干/豆制品/蛋
2.0,鸭翅,2017/1/31 21:37,A,非饮料,肉干/豆制品/蛋
1.0,香豆干,2017/1/31 21:38,A,非饮料,肉干/豆制品/蛋
2.0,凤爪,2017/1/31 21:44,A,非饮料,肉干/豆制品/蛋
4.5,脉动,2017/1/31 22:02,A,饮料,功能饮料
4.5,脉动,2017/1/31 22:07,A,饮料,功能饮料
6.0,红牛,2017/1/31 22:09,A,饮料,功能饮料
2.0,香豆干,2017/1/31 22:43,A,非饮料,肉干/豆制品/蛋
3.0,统一冰红茶,2017/1/31 23:23,A,饮料,茶饮料
25.0,芙蓉王,2017/2/1 14:17,A,非饮料,香烟
3.0,威化饼干,2017/2/1 14:35,A,非饮料,饼干糕点
2.0,怡宝纯净水,2017/2/1 16:41,A,饮料,水
4.0,王老吉（500ml）,2017/2/1 17:51,A,饮料,茶饮料
4.0,银鹭八宝粥,2017/2/1 19:42,A,饮料,方便速食
4.5,营养快线,2017/2/2 08:32,A,饮料,乳制品
2.0,怡宝,2017/2/2 12:14,A,饮料,水
10.0,湘潭铺子(羽泉版),2017/2/2 12:21,A,非饮料,蜜饯/果干
3.5,统一冰红茶,2017/2/2 12:25,A,饮料,茶饮料
6.0,雀巢咖啡,2017/2/2 13:20,A,饮料,咖啡
2.0,怡宝,2017/2/2 14:04,A,饮料,水
10.0,口味王槟榔（绿）,2017/2/2 14:25,A,非饮料,蜜饯/果干
2.5,30g无穷农场盐_鸡蛋,2017/2/2 14:44,A,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/2/2 14:44,A,饮料,功能饮料
3.5,东鹏特饮,2017/2/2 15:11,A,饮料,功能饮料
4.5,脉动,2017/2/2 16:04,A,饮料,功能饮料
3.5,东鹏特饮,2017/2/2 20:49,A,饮料,功能饮料
4.0,脉动,2017/2/2 21:13,A,饮料,功能饮料
3.0,伊利纯牛奶,2017/2/3 20:21,A,饮料,乳制品
3.0,茉莉蜜茶,2017/2/4 16:05,A,饮料,茶饮料
6.0,雀巢咖啡,2017/2/4 16:35,A,饮料,咖啡
2.5,伊利优酸乳,2017/2/4 16:42,A,饮料,乳制品
2.0,怡宝纯净水,2017/2/4 16:52,A,饮料,水
4.5,营养快线,2017/2/5 10:59,A,饮料,乳制品
2.0,雪力矿泉水,2017/2/5 11:52,A,饮料,水
2.0,雪力矿泉水,2017/2/5 12:01,A,饮料,水
10.0,湘潭铺子(羽泉版),2017/2/5 12:07,A,非饮料,蜜饯/果干
1.5,小鱼仔,2017/2/5 13:03,A,非饮料,海味零食
3.5,东鹏特饮,2017/2/5 14:54,A,饮料,功能饮料
3.0,统一冰红茶,2017/2/5 14:56,A,饮料,茶饮料
3.0,伊利纯牛奶,2017/2/5 15:17,A,饮料,乳制品
