商品,销量,标签
燕塘原味酸奶,6,滞销
燕塘甜牛奶,7,滞销
燕塘红枣牛奶,11,正常
王老吉（500ml）,108,热销
王老吉（罐）,68,正常
珠江纯生啤酒,3,滞销
百事可乐330ml,15,正常
百事可乐500ml,23,正常
益力多100g*5瓶,6,滞销
盼盼手撕面包,7,滞销
红利群（硬）,4,滞销
红牛,155,热销
经典奶茶,4,滞销
统一冰红茶,228,热销
统一来一桶香辣老坛酸菜牛肉面,12,正常
统一绿茶,151,热销
统一阿萨姆奶茶,7,滞销
维他原味豆奶,9,滞销
维他奶,30,正常
维他奶黑豆奶饮品,7,滞销
维他奶（巧克力味）,3,滞销
维他柠檬茶,56,正常
维他柠檬茶330ml（罐）,3,滞销
美年达（罐）,11,正常
美汁源果粒橙,7,滞销
脉动,309,热销
脉动（椰子菠萝口味）,1,滞销
脉动（青柠）,5,滞销
芙蓉王,11,正常
芦荟汁,1,滞销
芬达330ml,47,正常
茉莉蜜茶,35,正常
营养快线,255,热销
诗竹竹纤维面巾纸,14,正常
贡美忆江南充电宝5000mAh,1,滞销
贡美苹果数据线,1,滞销
越南LIPO奶味面包干100g,4,滞销
越南LIPO奶味面包干10g,1,滞销
钙芝奶酪味高钙威化饼干,1,滞销
银鹭八宝粥,95,正常
阿萨姆奶茶,325,热销
阿萨姆煎茶奶绿,20,正常
雀巢咖啡,32,正常
雪力矿泉水,29,正常
雪碧,6,滞销
雪碧330ml,67,正常
雪碧最新款,29,正常
雪碧（500ml）,120,热销
韩国海牌海苔,12,正常
香脆肠,32,正常
香豆干,123,热销
鸡爪,9,滞销
鸭翅,152,热销
