商品,销量,标签
乐虎（380ml）,15,正常
乖媳妇野山椒风爪,12,正常
伊利优酸乳,102,热销
伊利纯牛奶,75,正常
健能酸奶,7,滞销
农夫果园,1,滞销
冰糖雪梨,16,正常
冰红茶（罐）,2,滞销
凤爪,15,正常
加多宝,4,滞销
劲仔小鱼（卤香味）,5,滞销
劲仔小鱼（麻辣味）,16,正常
卫龙亲嘴烧红烧牛肉味,4,滞销
卫龙大面筋,204,热销
印尼芝士威化饼干,16,正常
双汇玉米热狗肠,12,正常
口味王槟榔（红）,15,正常
口味王槟榔（绿）,51,正常
可乐可乐,16,正常
可乐（500ml）,2,滞销
可口可乐330ml,54,正常
可口可乐330ml（罐）,1,滞销
可口可乐最新款,143,热销
可口可乐（500ml）,176,热销
合味道（浓猪骨）,1,滞销
合味道（海鲜风味）,9,滞销
味之不规则饼干（韩国泡菜味）,1,滞销
和成天下（黄）,2,滞销
咪咪,28,正常
咪咪虾条马来西亚风味,10,正常
商品1,1,滞销
商品2,2,滞销
四洲粟一烧烧烤味,2,滞销
多芙利香草奶油味蛋糕,1,滞销
奥利奥原味芝士,8,滞销
好吃点,3,滞销
好吃点小饼干,7,滞销
威化饼干,3,滞销
安慕希酸奶,2,滞销
小糖衣血糖仪,17,正常
小糖衣血糖试纸,1,滞销
小茗同学冷泡茶（乳酸菌味）,1,滞销
小鱼仔,108,热销
尖叫,6,滞销
康师傅矿泉水,10,正常
怡宝,14,正常
怡宝矿泉水,4,滞销
怡宝纯净水,387,热销
手撕素肉排,1,滞销
新麦潮北海道吐司,4,滞销
新麦潮天然酵母面包（牛奶风味）,1,滞销
新麦潮手撕面包（提子味）,2,滞销
无穷农场盐_鸡蛋,12,正常
无穷烤鸡小腿（蜂蜜）,3,滞销
日式鱼果,2,滞销
旺仔牛奶,2,滞销
旺仔牛奶145ml,1,滞销
果粒橙,168,热销
椰树牌椰汁,7,滞销
每日特惠,1,滞销
汤达人方便面,2,滞销
汤达人桶面,2,滞销
泰奇八宝粥,6,滞销
湘潭铺子(羽泉版),12,正常
熊字饼,117,热销
燕塘原味酸奶,6,滞销
燕塘甜牛奶,2,滞销
燕塘红枣牛奶,5,滞销
王老吉（500ml）,87,正常
王老吉（罐）,177,热销
百事可乐330ml,32,正常
百事可乐500ml,5,滞销
益力多100g*5瓶,5,滞销
盼盼手撕面包,1,滞销
红利群（硬）,2,滞销
红牛,178,热销
经典奶茶,1,滞销
统一冰红茶,309,热销
统一来一桶香辣老坛酸菜牛肉面,6,滞销
统一绿茶,188,热销
统一阿萨姆奶茶,2,滞销
维他原味豆奶,15,正常
维他奶,52,正常
维他奶（巧克力味）,2,滞销
维他柠檬茶,65,正常
美年达（罐）,71,正常
美汁源果粒橙,5,滞销
脉动,283,热销
脉动（椰子菠萝口味）,1,滞销
脉动（青柠）,1,滞销
芙蓉王,8,滞销
芦荟汁,1,滞销
芬达330ml,9,滞销
茉莉蜜茶,30,正常
营养快线,319,热销
诗竹竹纤维面巾纸,3,滞销
贡美苹果数据线,1,滞销
银鹭八宝粥,80,正常
阿萨姆奶茶,365,热销
阿萨姆煎茶奶绿,14,正常
雀巢咖啡,23,正常
雪力矿泉水,7,滞销
雪碧,2,滞销
雪碧330ml,19,正常
雪碧最新款,167,热销
雪碧（500ml）,132,热销
韩国海牌海苔,1,滞销
香脆肠,42,正常
香豆干,188,热销
鸭翅,158,热销
