商品,销量,标签
珠江纯生啤酒,5,滞销
百事可乐330ml,2,滞销
百事可乐500ml,12,正常
益力多100g*5瓶,3,滞销
盼盼手撕面包,6,滞销
红牛,220,热销
统一冰红茶,394,热销
统一来一桶香辣老坛酸菜牛肉面,23,正常
统一绿茶,246,热销
统一阿萨姆奶茶,12,正常
维他原味豆奶,29,正常
维他奶,66,正常
维他奶黑豆奶饮品,2,滞销
维他奶（巧克力味）,6,滞销
维他柠檬茶,58,正常
维他柠檬茶330ml（罐）,13,正常
美年达（罐）,2,滞销
美汁源果粒橙,21,正常
脉动,759,热销
脉动（椰子菠萝口味）,2,滞销
脉动（青柠）,9,滞销
芙蓉王,32,正常
芦荟汁,1,滞销
芬达330ml,271,热销
茉莉蜜茶,67,正常
营养快线,435,热销
诗竹竹纤维面巾纸,16,正常
越南LIPO奶味面包干100g,8,滞销
迷你纸巾,10,正常
银鹭八宝粥,163,热销
阿萨姆奶茶,455,热销
阿萨姆煎茶奶绿,76,正常
雀巢咖啡,26,正常
雪力矿泉水,2,滞销
雪碧,7,滞销
雪碧330ml,70,正常
雪碧最新款,230,热销
雪碧（500ml）,69,正常
韩国海牌海苔,10,正常
顺宝九制梅,7,滞销
香脆肠,65,正常
香豆干,115,热销
鸡爪,6,滞销
鸭翅,171,热销
