商品,销量,标签
58g丽芝士纳宝帝奶酪威化饼干,61,正常
5片装益达绿箭口香糖,27,正常
600ml可口可乐,139,热销
600ml脉动青柠,119,热销
600ml雪碧,134,热销
60g溜溜九制梅,1,滞销
65g卫龙亲嘴豆皮,67,正常
68g多力多玉米片爆香热辣味,14,正常
68g好丽友巧克力派2枚,48,正常
68g好丽友蛋黄派2枚,17,正常
70g乐事薯片原味,29,正常
70g乐事薯片青柠味,2,滞销
70g乐事薯片黄瓜味,12,正常
70g乐事薯片（原味）,19,正常
70g乐事薯片（黄瓜味）,25,正常
70g乖媳妇野山泡椒凤爪,104,热销
75g新麦潮天然酵母面包（北海道牛奶风味）,93,正常
75g达利园柠檬蛋糕,2,滞销
78g卫龙亲嘴语辣条,112,热销
78g卫龙亲语,2,滞销
78g合味道杯面香菇炖鸡风味,3,滞销
80g四洲粟一烧烧烤味,22,正常
80g盼盼手撕面包,5,滞销
80g香飘飘椰果奶茶原味,19,正常
80g香飘飘椰果奶茶麦香味,10,正常
80g马赛克香蕉片,16,正常
83g汤达人酸辣豚骨拉面,5,滞销
85g嘉士利果乐果香夹心饼干蓝莓味,80,正常
85g新麦潮北海道吐司,178,热销
85g新麦潮手撕面包（提子味）,141,热销
85g统一老坛酸菜牛肉面,130,热销
86g合味道浓猪骨味,31,正常
86g合味道海鲜风味,128,热销
91g徐福记凤梨酥,42,正常
上好佳田园薯片,26,正常
东鹏特饮,447,热销
丽芝士纳宝帝奶酪威化饼干,42,正常
乐事薯片（青柠）,8,滞销
乐事薯片（黄瓜味）,29,正常
乐虎,44,正常
乐虎（380ml）,2,滞销
乖媳妇野山椒风爪,13,正常
伊利优酸乳,374,热销
伊利纯牛奶,150,热销
优益C活菌型乳酸菌饮品,16,正常
健能酸奶,26,正常
农夫果园,16,正常
冰糖雪梨,140,热销
冰红茶（罐）,2,滞销
凤爪,16,正常
加多宝,30,正常
劲仔小鱼（卤香味）,15,正常
劲仔小鱼（酱汁味）,3,滞销
劲仔小鱼（麻辣味）,29,正常
卫龙亲嘴烧红烧牛肉味,46,正常
卫龙亲嘴烧麦辣鸡汁味,7,滞销
卫龙大面筋,126,热销
印尼芝士威化饼干,34,正常
双汇玉米热狗肠,75,正常
口味王槟榔（红）,21,正常
口味王槟榔（绿）,81,正常
可乐可乐,48,正常
可口可乐330ml,244,热销
可口可乐330ml（罐）,1,滞销
可口可乐最新款,106,热销
可口可乐（500ml）,202,热销
合味道（海鲜风味）,34,正常
味之不规则饼干（番茄味）,2,滞销
味之不规则饼干（芝士味）,4,滞销
和成天下（红）,6,滞销
和成天下（黄）,18,正常
咪咪,18,正常
咪咪虾条马来西亚风味,117,热销
商品1,3,滞销
商品2,1,滞销
商品21,1,滞销
四洲粟一烧烧烤味,5,滞销
多芙利香草奶油味蛋糕,6,滞销
奥利奥原味芝士,38,正常
好吃点,19,正常
好吃点小饼干,15,正常
威化饼干,1,滞销
安慕希酸奶,5,滞销
小糖衣血糖仪,7,滞销
小茗同学,10,正常
小茗同学冷泡茶（乳酸菌味）,1,滞销
小茗同学（青柠红茶）,1,滞销
小鱼仔,130,热销
尖叫,54,正常
巧克力奶油味蛋糕,5,滞销
康师傅矿泉水,47,正常
怡宝,37,正常
怡宝矿泉水,19,正常
怡宝纯净水,1705,热销
手撕素肉排,30,正常
拿铁咖啡（统一）,8,滞销
新麦潮北海道吐司,13,正常
新麦潮天然酵母面包,1,滞销
新麦潮天然酵母面包（牛奶风味）,18,正常
新麦潮天然酵母面包（良品铺子）,7,滞销
新麦潮手撕面包（提子味）,1,滞销
无穷农场盐_鸡蛋,78,正常
无穷烤鸡小腿（蜂蜜）,52,正常
日式鱼果,18,正常
旺仔牛奶,40,正常
旺仔牛奶145ml,23,正常
果粒橙,470,热销
椰树牌椰汁,39,正常
每日特惠,3,滞销
泰奇八宝粥,21,正常
湘潭铺子(羽泉版),28,正常
熊字饼,191,热销
燕塘原味酸奶,29,正常
燕塘甜牛奶,39,正常
燕塘红枣牛奶,40,正常
王老吉（500ml）,417,热销
王老吉（罐）,410,热销
珠江纯生啤酒,1,滞销
百事可乐330ml,2,滞销
百事可乐500ml,8,滞销
益力多100g*5瓶,22,正常
盼盼手撕面包,14,正常
秒充,64,正常
红牛,244,热销
经典奶茶,2,滞销
统一冰红茶,626,热销
统一来一桶香辣老坛酸菜牛肉面,25,正常
统一绿茶,490,热销
统一阿萨姆奶茶,38,正常
维他原味豆奶,81,正常
维他奶,89,正常
维他奶黑豆奶饮品,1,滞销
维他奶（巧克力味）,41,正常
维他柠檬茶,169,热销
维他柠檬茶330ml（罐）,2,滞销
美年达（罐）,125,热销
美汁源果粒橙,22,正常
脉动,996,热销
脉动（椰子菠萝口味）,9,滞销
脉动（青柠）,37,正常
芙蓉王,2,滞销
芦荟汁,42,正常
芬达330ml,382,热销
茉莉蜜茶,54,正常
营养快线,778,热销
诗竹竹纤维面巾纸,20,正常
越南LIPO奶味面包干100g,11,正常
迷你纸巾,13,正常
银鹭八宝粥,154,热销
阿萨姆奶茶,792,热销
阿萨姆煎茶奶绿,11,正常
雀巢咖啡,85,正常
雪力矿泉水,35,正常
雪碧,28,正常
雪碧330ml,173,热销
雪碧最新款,182,热销
雪碧（500ml）,154,热销
韩国海牌海苔,49,正常
顺宝九制梅,15,正常
香脆肠,75,正常
香豆干,251,热销
鸡爪,6,滞销
鸭翅,282,热销
