商品,销量,标签,标签1,标签2
维他柠檬茶330ml（罐）,3,滞销,茶饮料,维他柠檬茶罐
美年达（罐）,11,正常,碳酸饮料,美年达罐
美汁源果粒橙,7,滞销,果蔬饮料,美汁源果粒橙
脉动,309,热销,功能饮料,脉动
脉动（椰子菠萝口味）,1,滞销,功能饮料,脉动椰子菠萝口味
脉动（青柠）,5,滞销,功能饮料,脉动青柠
芙蓉王,11,正常,香烟,芙蓉王
芦荟汁,1,滞销,果蔬饮料,芦荟汁
芬达330ml,47,正常,碳酸饮料,芬达
茉莉蜜茶,35,正常,茶饮料,茉莉蜜茶
营养快线,255,热销,乳制品,营养快线
诗竹竹纤维面巾纸,14,正常,纸巾,诗竹竹纤维面巾纸
贡美忆江南充电宝5000mAh,1,滞销,其他,贡美忆江南充电宝
贡美苹果数据线,1,滞销,其他,贡美苹果数据线
越南LIPO奶味面包干100g,4,滞销,饼干糕点,越南奶味面包干
越南LIPO奶味面包干10g,1,滞销,饼干糕点,越南奶味面包干
钙芝奶酪味高钙威化饼干,1,滞销,饼干糕点,钙芝奶酪味高钙威化饼干
银鹭八宝粥,95,正常,方便速食,银鹭八宝粥
阿萨姆奶茶,325,热销,茶饮料,阿萨姆奶茶
阿萨姆煎茶奶绿,20,正常,茶饮料,阿萨姆煎茶奶绿
雀巢咖啡,32,正常,咖啡,雀巢咖啡
雪力矿泉水,29,正常,水,雪力矿泉水
雪碧,6,滞销,碳酸饮料,雪碧
雪碧330ml,67,正常,碳酸饮料,雪碧
雪碧最新款,29,正常,碳酸饮料,雪碧最新款
雪碧（500ml）,120,热销,碳酸饮料,雪碧
韩国海牌海苔,12,正常,海味零食,韩国海牌海苔
香脆肠,32,正常,肉干,香脆肠
香豆干,123,热销,豆制品,香豆干
鸡爪,9,滞销,肉干,鸡爪
鸭翅,152,热销,肉干,鸭翅
