商品,销量,标签,标签1,标签2
32g卫龙亲嘴烧川香味,12,正常,豆制品,卫龙亲嘴烧川香味
32g卫龙亲嘴烧红烧牛肉味,46,正常,豆制品,卫龙亲嘴烧红烧牛肉味
330ml伊利畅意乳酸菌原味,76,正常,乳制品,伊利畅意乳酸菌原味
330ml伊利畅意乳酸菌草莓味,2,滞销,乳制品,伊利畅意乳酸菌草莓味
340ml蒙牛优益C乳酸菌,5,滞销,乳制品,蒙牛优益乳酸菌
34g公仔迷你杯牛肉味,3,滞销,方便速食,公仔迷你杯牛肉味
34g公仔迷你杯风味排骨味,4,滞销,方便速食,公仔迷你杯风味排骨味
37.5g费列罗榛果威化巧克力3颗,9,滞销,巧克力,.费列罗榛果威化巧克力颗
370g泰奇八宝粥,17,正常,方便速食,泰奇八宝粥
40g上好佳日式鱼果,16,正常,膨化食品,上好佳日式鱼果
40g上好佳田园薯片番茄味,1,滞销,膨化食品,上好佳田园薯片番茄味
40g乐事美国经典原味,19,正常,膨化食品,乐事美国经典原味
40g乐事薯片墨西哥鸡汁番茄味,11,正常,膨化食品,乐事薯片墨西哥鸡汁番茄味
40g乐事薯片黄瓜味,17,正常,膨化食品,乐事薯片黄瓜味
40g卫龙点心面黑椒牛排味,5,滞销,豆制品,卫龙点心面黑椒牛排味
40g双汇玉米热狗肠,189,热销,肉干,双汇玉米热狗肠
40g呀土豆番茄酱味,19,正常,膨化食品,呀土豆番茄酱味
40g呀土豆薯片滋香烤鸡味,24,正常,膨化食品,呀土豆薯片滋香烤鸡味
430g泰奇八宝粥,51,正常,方便速食,泰奇八宝粥
450ml美汁源果粒橙,52,正常,果蔬饮料,美汁源果粒橙
45g双汇泡面拍挡,43,正常,肉干,双汇泡面拍挡
480ml小茗同学冷泡溜溜哒茶,3,滞销,茶饮料,小茗同学冷泡溜溜哒茶
480ml小茗同学冷泡青柠红茶,34,正常,茶饮料,小茗同学冷泡青柠红茶
48g好丽友薯愿香烤原味,17,正常,膨化食品,好丽友薯愿香烤原味
500ML宝矿力,5,滞销,功能饮料,宝矿力
500ml农夫果园 (芒果+菠萝+番石榴),23,正常,果蔬饮料,农夫果园 芒果菠萝番石榴
500ml加多宝,34,正常,茶饮料,加多宝
500ml康师傅冰糖雪梨,11,正常,果蔬饮料,康师傅冰糖雪梨
500ml恒大冰泉矿泉水,1,滞销,水,恒大冰泉矿泉水
500ml统一冰糖雪梨,2,滞销,果蔬饮料,统一冰糖雪梨
500ml统一阿萨姆奶茶,70,正常,茶饮料,统一阿萨姆奶茶
500ml营养快线原味,12,正常,乳制品,营养快线原味
50g上好佳日式鱼果,12,正常,膨化食品,上好佳日式鱼果
50g上好佳田园薯片番茄味,22,正常,膨化食品,上好佳田园薯片番茄味
50g双层百力滋奶咖味,2,滞销,饼干糕点,双层百力滋奶咖味
50g双层百力滋特浓番茄味,2,滞销,饼干糕点,双层百力滋特浓番茄味
50g马赛克手撕鱿鱼条,8,滞销,海味零食,马赛克手撕鱿鱼条
52g旺旺仙贝,29,正常,膨化食品,旺旺仙贝
55g奥利奥原味夹心饼干,14,正常,饼干糕点,奥利奥原味夹心饼干
55g奥利奥原味芝士饼干,31,正常,饼干糕点,奥利奥原味芝士饼干
55g奥利奥迷你杯夹心小饼干杯装原味,3,滞销,饼干糕点,奥利奥迷你杯夹心小饼干杯装原味
58g丽芝士纳宝帝奶酪威化饼干,43,正常,饼干糕点,丽芝士纳宝帝奶酪威化饼干
5片装益达绿箭口香糖,13,正常,糖果,片装益达绿箭口香糖
600ml可口可乐,83,正常,碳酸饮料,可口可乐
600ml脉动青柠,35,正常,功能饮料,脉动青柠
600ml雪碧,49,正常,碳酸饮料,雪碧
65g卫龙亲嘴豆皮,27,正常,豆制品,卫龙亲嘴豆皮
68g多力多玉米片爆香热辣味,5,滞销,膨化食品,多力多玉米片爆香热辣味
68g好丽友巧克力派2枚,28,正常,饼干糕点,好丽友巧克力派枚
68g好丽友蛋黄派2枚,8,滞销,饼干糕点,好丽友蛋黄派枚
70g乐事薯片原味,7,滞销,膨化食品,乐事薯片原味
70g乐事薯片黄瓜味,15,正常,膨化食品,乐事薯片黄瓜味
70g乐事薯片（原味）,9,滞销,膨化食品,乐事薯片原味
70g乐事薯片（黄瓜味）,13,正常,膨化食品,乐事薯片黄瓜味
70g乖媳妇野山泡椒凤爪,52,正常,肉干,乖媳妇野山泡椒凤爪
75g新麦潮天然酵母面包（北海道牛奶风味）,66,正常,饼干糕点,新麦潮天然酵母面包北海道牛奶风味
78g卫龙亲嘴语辣条,65,正常,豆制品,卫龙亲嘴语辣条
78g合味道杯面香菇炖鸡风味,5,滞销,方便速食,合味道杯面香菇炖鸡风味
80g四洲粟一烧烧烤味,15,正常,膨化食品,四洲粟一烧烧烤味
80g盼盼手撕面包,2,滞销,饼干糕点,盼盼手撕面包
80g香飘飘椰果奶茶原味,15,正常,茶饮料,香飘飘椰果奶茶原味
80g香飘飘椰果奶茶麦香味,12,正常,茶饮料,香飘飘椰果奶茶麦香味
80g马赛克香蕉片,12,正常,果干,马赛克香蕉片
83g汤达人酸辣豚骨拉面,2,滞销,方便速食,汤达人酸辣豚骨拉面
85g嘉士利果乐果香夹心饼干蓝莓味,49,正常,饼干糕点,嘉士利果乐果香夹心饼干蓝莓味
85g新麦潮北海道吐司,116,热销,饼干糕点,新麦潮北海道吐司
85g新麦潮手撕面包（提子味）,110,热销,饼干糕点,新麦潮手撕面包提子味
85g统一老坛酸菜牛肉面,89,正常,方便速食,统一老坛酸菜牛肉面
86g合味道浓猪骨味,9,滞销,方便速食,合味道浓猪骨味
86g合味道海鲜风味,82,正常,方便速食,合味道海鲜风味
90g顺宝九制杨梅,1,滞销,蜜饯,顺宝九制杨梅
91g徐福记凤梨酥,34,正常,饼干糕点,徐福记凤梨酥
上好佳田园薯片,9,滞销,膨化食品,上好佳田园薯片
东鹏特饮,474,热销,功能饮料,东鹏特饮
丽芝士纳宝帝奶酪威化饼干,11,正常,饼干糕点,丽芝士纳宝帝奶酪威化饼干
乐事薯片（青柠）,2,滞销,膨化食品,乐事薯片青柠
乐事薯片（黄瓜味）,1,滞销,膨化食品,乐事薯片黄瓜味
乐虎,7,滞销,功能饮料,乐虎
乐虎（380ml）,11,正常,功能饮料,乐虎
乖媳妇野山椒风爪,1,滞销,肉干,乖媳妇野山椒风爪
伊利优酸乳,179,热销,乳制品,伊利优酸乳
伊利纯牛奶,92,正常,乳制品,伊利纯牛奶
优益C活菌型乳酸菌饮品,4,滞销,乳制品,优益活菌型乳酸菌饮品
健能酸奶,8,滞销,乳制品,健能酸奶
农夫果园,3,滞销,果蔬饮料,农夫果园
冰糖雪梨,59,正常,果蔬饮料,冰糖雪梨
冰红茶（罐）,6,滞销,茶饮料,冰红茶罐
凤爪,20,正常,肉干,凤爪
利群（硬）,2,滞销,香烟,利群硬
加多宝,6,滞销,茶饮料,加多宝
劲仔小鱼（卤香味）,9,滞销,肉干,劲仔小鱼卤香味
劲仔小鱼（麻辣味）,4,滞销,肉干,劲仔小鱼麻辣味
卫龙亲嘴烧红烧牛肉味,6,滞销,豆制品,卫龙亲嘴烧红烧牛肉味
卫龙亲嘴烧麦辣鸡汁味,4,滞销,豆制品,卫龙亲嘴烧麦辣鸡汁味
卫龙大面筋,190,热销,豆制品,卫龙大面筋
印尼芝士威化饼干,30,正常,饼干糕点,印尼芝士威化饼干
双汇玉米热狗肠,19,正常,肉干,双汇玉米热狗肠
口味王槟榔（红）,31,正常,果干,口味王槟榔红
口味王槟榔（绿色）,2,滞销,果干,口味王槟榔绿色
口味王槟榔（绿）,94,正常,果干,口味王槟榔绿
可乐可乐,10,正常,碳酸饮料,可乐可乐
可口可乐330ml,212,热销,碳酸饮料,可口可乐
可口可乐330ml（罐）,5,滞销,碳酸饮料,可口可乐罐
可口可乐最新款,109,热销,碳酸饮料,可口可乐最新款
可口可乐（500ml）,57,正常,碳酸饮料,可口可乐
合味道（浓猪骨）,1,滞销,方便速食,合味道浓猪骨
合味道（海鲜风味）,11,正常,方便速食,合味道海鲜风味
味之不规则饼干（芝士味）,2,滞销,饼干糕点,味之不规则饼干芝士味
和成天下（黄）,1,滞销,香烟,和成天下黄
咪咪,18,正常,膨化食品,咪咪
咪咪虾条马来西亚风味,23,正常,膨化食品,咪咪虾条马来西亚风味
商品1,2,滞销,其他,商品
商品14,1,滞销,其他,商品
商品2,2,滞销,其他,商品
四洲粟一烧烧烤味,5,滞销,膨化食品,四洲粟一烧烧烤味
多芙利香草奶油味蛋糕,2,滞销,饼干糕点,多芙利香草奶油味蛋糕
天地一号,5,滞销,果蔬饮料,天地一号
奥利奥原味芝士,7,滞销,饼干糕点,奥利奥原味芝士
好吃点,11,正常,饼干糕点,好吃点
好吃点小饼干,35,正常,饼干糕点,好吃点小饼干
威化饼干,2,滞销,饼干糕点,威化饼干
娃哈哈红枣酸奶,1,滞销,乳制品,娃哈哈红枣酸奶
安慕希酸奶,11,正常,乳制品,安慕希酸奶
小糖衣血糖仪,3,滞销,其他,小糖衣血糖仪
小糖衣血糖试纸,1,滞销,其他,小糖衣血糖试纸
小茗同学,2,滞销,茶饮料,小茗同学
小茗同学冷泡茶（乳酸菌味）,1,滞销,茶饮料,小茗同学冷泡茶乳酸菌味
小茗同学（青柠红茶）,1,滞销,茶饮料,小茗同学青柠红茶
小鱼仔,146,热销,海味零食,小鱼仔
尖叫,14,正常,功能饮料,尖叫
巧克力奶油味蛋糕,1,滞销,饼干糕点,巧克力奶油味蛋糕
康师傅拉面(袋),1,滞销,方便速食,康师傅拉面袋
康师傅矿泉水,17,正常,水,康师傅矿泉水
怡宝,38,正常,水,怡宝
怡宝矿泉水,3,滞销,水,怡宝矿泉水
怡宝纯净水,1342,热销,水,怡宝纯净水
手撕素肉排,20,正常,肉干,手撕素肉排
拿铁咖啡（统一）,1,滞销,咖啡,拿铁咖啡统一
新麦潮北海道吐司,1,滞销,饼干糕点,新麦潮北海道吐司
新麦潮天然酵母面包（牛奶风味）,4,滞销,饼干糕点,新麦潮天然酵母面包牛奶风味
新麦潮手撕面包（提子味）,1,滞销,饼干糕点,新麦潮手撕面包提子味
无穷农场盐_鸡蛋,11,正常,蛋,无穷农场盐鸡蛋
无穷烤鸡小腿,1,滞销,肉干,无穷烤鸡小腿
无穷烤鸡小腿（蜂蜜）,19,正常,肉干,无穷烤鸡小腿蜂蜜
日式鱼果,1,滞销,膨化食品,日式鱼果
旺仔牛奶,6,滞销,乳制品,旺仔牛奶
旺仔牛奶145ml,4,滞销,乳制品,旺仔牛奶
果粒橙,245,热销,果蔬饮料,果粒橙
椰树牌椰汁,17,正常,植物蛋白,椰树牌椰汁
每日特惠,1,滞销,其他,每日特惠
汤达人桶面,1,滞销,方便速食,汤达人桶面
泰奇八宝粥,10,正常,方便速食,泰奇八宝粥
湘潭铺子(羽泉版),15,正常,果干,湘潭铺子羽泉版
熊字饼,112,热销,饼干糕点,熊字饼
燕塘原味酸奶,3,滞销,乳制品,燕塘原味酸奶
燕塘甜牛奶,11,正常,乳制品,燕塘甜牛奶
燕塘红枣牛奶,7,滞销,乳制品,燕塘红枣牛奶
王老吉（500ml）,310,热销,茶饮料,王老吉
王老吉（罐）,201,热销,茶饮料,王老吉罐
珠江纯生啤酒,4,滞销,功能饮料,珠江纯生啤酒
百事可乐330ml,4,滞销,碳酸饮料,百事可乐
百事可乐500ml,100,正常,碳酸饮料,百事可乐
益力多100g*5瓶,8,滞销,乳制品,益力多
盼盼手撕面包,2,滞销,饼干糕点,盼盼手撕面包
立体声耳机（象牙白）,1,滞销,其他,立体声耳机象牙白
红牛,188,热销,功能饮料,红牛
经典奶茶,12,正常,茶饮料,经典奶茶
统一冰红茶,334,热销,茶饮料,统一冰红茶
统一来一桶香辣老坛酸菜牛肉面,4,滞销,方便速食,统一来一桶香辣老坛酸菜牛肉面
统一绿茶,209,热销,茶饮料,统一绿茶
统一阿萨姆奶茶,6,滞销,茶饮料,统一阿萨姆奶茶
维他原味豆奶,16,正常,植物蛋白,维他原味豆奶
维他奶,57,正常,植物蛋白,维他奶
维他奶（巧克力味）,4,滞销,植物蛋白,维他奶巧克力味
维他柠檬茶,78,正常,茶饮料,维他柠檬茶
维他柠檬茶330ml（罐）,3,滞销,茶饮料,维他柠檬茶罐
美年达（罐）,8,滞销,碳酸饮料,美年达罐
美汁源果粒橙,10,正常,果蔬饮料,美汁源果粒橙
脉动,431,热销,功能饮料,脉动
脉动（椰子菠萝口味）,1,滞销,功能饮料,脉动椰子菠萝口味
脉动（青柠）,8,滞销,功能饮料,脉动青柠
芙蓉王,41,正常,香烟,芙蓉王
芦荟汁,5,滞销,果蔬饮料,芦荟汁
芬达330ml,198,热销,碳酸饮料,芬达
茉莉蜜茶,33,正常,茶饮料,茉莉蜜茶
营养快线,425,热销,乳制品,营养快线
诗竹竹纤维面巾纸,12,正常,纸巾,诗竹竹纤维面巾纸
越南LIPO奶味面包干100g,2,滞销,饼干糕点,越南奶味面包干
迷你纸巾,8,滞销,纸巾,迷你纸巾
银鹭八宝粥,108,热销,方便速食,银鹭八宝粥
阿萨姆奶茶,457,热销,茶饮料,阿萨姆奶茶
阿萨姆煎茶奶绿,19,正常,茶饮料,阿萨姆煎茶奶绿
雀巢咖啡,31,正常,咖啡,雀巢咖啡
雪力矿泉水,7,滞销,水,雪力矿泉水
雪碧,3,滞销,碳酸饮料,雪碧
雪碧330ml,103,热销,碳酸饮料,雪碧
雪碧最新款,117,热销,碳酸饮料,雪碧最新款
雪碧（500ml）,114,热销,碳酸饮料,雪碧
韩国海牌海苔,6,滞销,海味零食,韩国海牌海苔
顺宝九制梅,2,滞销,蜜饯,顺宝九制梅
香脆肠,63,正常,肉干,香脆肠
香豆干,194,热销,豆制品,香豆干
鸡爪,11,正常,肉干,鸡爪
鸭翅,204,热销,肉干,鸭翅
