商品,销量,标签,标签1,标签2
500ml统一冰糖雪梨,3,滞销,果蔬饮料,统一冰糖雪梨
500ml统一阿萨姆奶茶,153,热销,茶饮料,统一阿萨姆奶茶
500ml营养快线原味,9,滞销,乳制品,营养快线原味
50g上好佳日式鱼果,20,正常,膨化食品,上好佳日式鱼果
50g上好佳田园薯片番茄味,32,正常,膨化食品,上好佳田园薯片番茄味
50g双层百力滋奶咖味,8,滞销,饼干糕点,双层百力滋奶咖味
50g双层百力滋特浓番茄味,8,滞销,饼干糕点,双层百力滋特浓番茄味
50g马赛克手撕鱿鱼条,22,正常,海味零食,马赛克手撕鱿鱼条
52g旺旺仙贝,59,正常,膨化食品,旺旺仙贝
55g奥利奥原味夹心饼干,24,正常,饼干糕点,奥利奥原味夹心饼干
55g奥利奥原味芝士饼干,90,正常,饼干糕点,奥利奥原味芝士饼干
55g奥利奥迷你杯夹心小饼干杯装原味,8,滞销,饼干糕点,奥利奥迷你杯夹心小饼干杯装原味
58g丽芝士纳宝帝奶酪威化饼干,61,正常,饼干糕点,丽芝士纳宝帝奶酪威化饼干
5片装益达绿箭口香糖,27,正常,糖果,片装益达绿箭口香糖
600ml可口可乐,139,热销,碳酸饮料,可口可乐
600ml脉动青柠,119,热销,功能饮料,脉动青柠
600ml雪碧,134,热销,碳酸饮料,雪碧
60g溜溜九制梅,1,滞销,蜜饯,溜溜九制梅
65g卫龙亲嘴豆皮,67,正常,豆制品,卫龙亲嘴豆皮
68g多力多玉米片爆香热辣味,14,正常,膨化食品,多力多玉米片爆香热辣味
68g好丽友巧克力派2枚,48,正常,饼干糕点,好丽友巧克力派枚
68g好丽友蛋黄派2枚,17,正常,饼干糕点,好丽友蛋黄派枚
70g乐事薯片原味,29,正常,膨化食品,乐事薯片原味
70g乐事薯片青柠味,2,滞销,膨化食品,乐事薯片青柠味
70g乐事薯片黄瓜味,12,正常,膨化食品,乐事薯片黄瓜味
70g乐事薯片（原味）,19,正常,膨化食品,乐事薯片原味
70g乐事薯片（黄瓜味）,25,正常,膨化食品,乐事薯片黄瓜味
70g乖媳妇野山泡椒凤爪,104,热销,肉干,乖媳妇野山泡椒凤爪
75g新麦潮天然酵母面包（北海道牛奶风味）,93,正常,饼干糕点,新麦潮天然酵母面包北海道牛奶风味
75g达利园柠檬蛋糕,2,滞销,饼干糕点,达利园柠檬蛋糕
78g卫龙亲嘴语辣条,112,热销,豆制品,卫龙亲嘴语辣条
78g卫龙亲语,2,滞销,豆制品,卫龙亲语
78g合味道杯面香菇炖鸡风味,3,滞销,方便速食,合味道杯面香菇炖鸡风味
80g四洲粟一烧烧烤味,22,正常,膨化食品,四洲粟一烧烧烤味
80g盼盼手撕面包,5,滞销,饼干糕点,盼盼手撕面包
80g香飘飘椰果奶茶原味,19,正常,茶饮料,香飘飘椰果奶茶原味
80g香飘飘椰果奶茶麦香味,10,正常,茶饮料,香飘飘椰果奶茶麦香味
80g马赛克香蕉片,16,正常,果干,马赛克香蕉片
83g汤达人酸辣豚骨拉面,5,滞销,方便速食,汤达人酸辣豚骨拉面
85g嘉士利果乐果香夹心饼干蓝莓味,80,正常,饼干糕点,嘉士利果乐果香夹心饼干蓝莓味
85g新麦潮北海道吐司,178,热销,饼干糕点,新麦潮北海道吐司
85g新麦潮手撕面包（提子味）,141,热销,饼干糕点,新麦潮手撕面包提子味
85g统一老坛酸菜牛肉面,130,热销,方便速食,统一老坛酸菜牛肉面
86g合味道浓猪骨味,31,正常,方便速食,合味道浓猪骨味
86g合味道海鲜风味,128,热销,方便速食,合味道海鲜风味
91g徐福记凤梨酥,42,正常,饼干糕点,徐福记凤梨酥
上好佳田园薯片,26,正常,膨化食品,上好佳田园薯片
东鹏特饮,447,热销,功能饮料,东鹏特饮
丽芝士纳宝帝奶酪威化饼干,42,正常,饼干糕点,丽芝士纳宝帝奶酪威化饼干
乐事薯片（青柠）,8,滞销,膨化食品,乐事薯片青柠
乐事薯片（黄瓜味）,29,正常,膨化食品,乐事薯片黄瓜味
乐虎,44,正常,功能饮料,乐虎
乐虎（380ml）,2,滞销,功能饮料,乐虎
乖媳妇野山椒风爪,13,正常,肉干,乖媳妇野山椒风爪
伊利优酸乳,374,热销,乳制品,伊利优酸乳
伊利纯牛奶,150,热销,乳制品,伊利纯牛奶
优益C活菌型乳酸菌饮品,16,正常,乳制品,优益活菌型乳酸菌饮品
健能酸奶,26,正常,乳制品,健能酸奶
农夫果园,16,正常,果蔬饮料,农夫果园
冰糖雪梨,140,热销,果蔬饮料,冰糖雪梨
冰红茶（罐）,2,滞销,茶饮料,冰红茶罐
凤爪,16,正常,肉干,凤爪
加多宝,30,正常,茶饮料,加多宝
劲仔小鱼（卤香味）,15,正常,肉干,劲仔小鱼卤香味
劲仔小鱼（酱汁味）,3,滞销,肉干,劲仔小鱼酱汁味
劲仔小鱼（麻辣味）,29,正常,肉干,劲仔小鱼麻辣味
卫龙亲嘴烧红烧牛肉味,46,正常,豆制品,卫龙亲嘴烧红烧牛肉味
卫龙亲嘴烧麦辣鸡汁味,7,滞销,豆制品,卫龙亲嘴烧麦辣鸡汁味
卫龙大面筋,126,热销,豆制品,卫龙大面筋
印尼芝士威化饼干,34,正常,饼干糕点,印尼芝士威化饼干
双汇玉米热狗肠,75,正常,肉干,双汇玉米热狗肠
口味王槟榔（红）,21,正常,果干,口味王槟榔红
口味王槟榔（绿）,81,正常,果干,口味王槟榔绿
可乐可乐,48,正常,碳酸饮料,可乐可乐
可口可乐330ml,244,热销,碳酸饮料,可口可乐
可口可乐330ml（罐）,1,滞销,碳酸饮料,可口可乐罐
可口可乐最新款,106,热销,碳酸饮料,可口可乐最新款
可口可乐（500ml）,202,热销,碳酸饮料,可口可乐
合味道（海鲜风味）,34,正常,方便速食,合味道海鲜风味
味之不规则饼干（番茄味）,2,滞销,饼干糕点,味之不规则饼干番茄味
味之不规则饼干（芝士味）,4,滞销,饼干糕点,味之不规则饼干芝士味
和成天下（红）,6,滞销,香烟,和成天下红
和成天下（黄）,18,正常,香烟,和成天下黄
咪咪,18,正常,膨化食品,咪咪
咪咪虾条马来西亚风味,117,热销,膨化食品,咪咪虾条马来西亚风味
商品1,3,滞销,其他,商品
商品2,1,滞销,其他,商品
商品21,1,滞销,其他,商品
四洲粟一烧烧烤味,5,滞销,膨化食品,四洲粟一烧烧烤味
多芙利香草奶油味蛋糕,6,滞销,饼干糕点,多芙利香草奶油味蛋糕
奥利奥原味芝士,38,正常,饼干糕点,奥利奥原味芝士
好吃点,19,正常,饼干糕点,好吃点
好吃点小饼干,15,正常,饼干糕点,好吃点小饼干
威化饼干,1,滞销,饼干糕点,威化饼干
安慕希酸奶,5,滞销,乳制品,安慕希酸奶
小糖衣血糖仪,7,滞销,其他,小糖衣血糖仪
小茗同学,10,正常,茶饮料,小茗同学
小茗同学冷泡茶（乳酸菌味）,1,滞销,茶饮料,小茗同学冷泡茶乳酸菌味
小茗同学（青柠红茶）,1,滞销,茶饮料,小茗同学青柠红茶
小鱼仔,130,热销,海味零食,小鱼仔
尖叫,54,正常,功能饮料,尖叫
巧克力奶油味蛋糕,5,滞销,饼干糕点,巧克力奶油味蛋糕
康师傅矿泉水,47,正常,水,康师傅矿泉水
怡宝,37,正常,水,怡宝
怡宝矿泉水,19,正常,水,怡宝矿泉水
怡宝纯净水,1705,热销,水,怡宝纯净水
手撕素肉排,30,正常,肉干,手撕素肉排
拿铁咖啡（统一）,8,滞销,咖啡,拿铁咖啡统一
新麦潮北海道吐司,13,正常,饼干糕点,新麦潮北海道吐司
新麦潮天然酵母面包,1,滞销,饼干糕点,新麦潮天然酵母面包
新麦潮天然酵母面包（牛奶风味）,18,正常,饼干糕点,新麦潮天然酵母面包牛奶风味
新麦潮天然酵母面包（良品铺子）,7,滞销,饼干糕点,新麦潮天然酵母面包良品铺子
新麦潮手撕面包（提子味）,1,滞销,饼干糕点,新麦潮手撕面包提子味
无穷农场盐_鸡蛋,78,正常,蛋,无穷农场盐鸡蛋
无穷烤鸡小腿（蜂蜜）,52,正常,肉干,无穷烤鸡小腿蜂蜜
日式鱼果,18,正常,膨化食品,日式鱼果
旺仔牛奶,40,正常,乳制品,旺仔牛奶
旺仔牛奶145ml,23,正常,乳制品,旺仔牛奶
果粒橙,470,热销,果蔬饮料,果粒橙
椰树牌椰汁,39,正常,植物蛋白,椰树牌椰汁
每日特惠,3,滞销,其他,每日特惠
泰奇八宝粥,21,正常,方便速食,泰奇八宝粥
湘潭铺子(羽泉版),28,正常,果干,湘潭铺子羽泉版
熊字饼,191,热销,饼干糕点,熊字饼
燕塘原味酸奶,29,正常,乳制品,燕塘原味酸奶
燕塘甜牛奶,39,正常,乳制品,燕塘甜牛奶
燕塘红枣牛奶,40,正常,乳制品,燕塘红枣牛奶
王老吉（500ml）,417,热销,茶饮料,王老吉
王老吉（罐）,410,热销,茶饮料,王老吉罐
珠江纯生啤酒,1,滞销,功能饮料,珠江纯生啤酒
百事可乐330ml,2,滞销,碳酸饮料,百事可乐
百事可乐500ml,8,滞销,碳酸饮料,百事可乐
益力多100g*5瓶,22,正常,乳制品,益力多
盼盼手撕面包,14,正常,饼干糕点,盼盼手撕面包
秒充,64,正常,其他,秒充
红牛,244,热销,功能饮料,红牛
经典奶茶,2,滞销,茶饮料,经典奶茶
统一冰红茶,626,热销,茶饮料,统一冰红茶
统一来一桶香辣老坛酸菜牛肉面,25,正常,方便速食,统一来一桶香辣老坛酸菜牛肉面
统一绿茶,490,热销,茶饮料,统一绿茶
统一阿萨姆奶茶,38,正常,茶饮料,统一阿萨姆奶茶
维他原味豆奶,81,正常,植物蛋白,维他原味豆奶
维他奶,89,正常,植物蛋白,维他奶
维他奶黑豆奶饮品,1,滞销,植物蛋白,维他奶黑豆奶饮品
维他奶（巧克力味）,41,正常,植物蛋白,维他奶巧克力味
维他柠檬茶,169,热销,茶饮料,维他柠檬茶
维他柠檬茶330ml（罐）,2,滞销,茶饮料,维他柠檬茶罐
美年达（罐）,125,热销,碳酸饮料,美年达罐
美汁源果粒橙,22,正常,果蔬饮料,美汁源果粒橙
脉动,996,热销,功能饮料,脉动
脉动（椰子菠萝口味）,9,滞销,功能饮料,脉动椰子菠萝口味
脉动（青柠）,37,正常,功能饮料,脉动青柠
芙蓉王,2,滞销,香烟,芙蓉王
芦荟汁,42,正常,果蔬饮料,芦荟汁
芬达330ml,382,热销,碳酸饮料,芬达
茉莉蜜茶,54,正常,茶饮料,茉莉蜜茶
营养快线,778,热销,乳制品,营养快线
诗竹竹纤维面巾纸,20,正常,纸巾,诗竹竹纤维面巾纸
越南LIPO奶味面包干100g,11,正常,饼干糕点,越南奶味面包干
迷你纸巾,13,正常,纸巾,迷你纸巾
银鹭八宝粥,154,热销,方便速食,银鹭八宝粥
阿萨姆奶茶,792,热销,茶饮料,阿萨姆奶茶
阿萨姆煎茶奶绿,11,正常,茶饮料,阿萨姆煎茶奶绿
雀巢咖啡,85,正常,咖啡,雀巢咖啡
雪力矿泉水,35,正常,水,雪力矿泉水
雪碧,28,正常,碳酸饮料,雪碧
雪碧330ml,173,热销,碳酸饮料,雪碧
雪碧最新款,182,热销,碳酸饮料,雪碧最新款
雪碧（500ml）,154,热销,碳酸饮料,雪碧
韩国海牌海苔,49,正常,海味零食,韩国海牌海苔
顺宝九制梅,15,正常,蜜饯,顺宝九制梅
香脆肠,75,正常,肉干,香脆肠
香豆干,251,热销,豆制品,香豆干
鸡爪,6,滞销,肉干,鸡爪
鸭翅,282,热销,肉干,鸭翅
