商品,销量,标签,标签1,标签2
250ml红牛,69,正常,功能饮料,红牛
250ml统一麦香奶茶,15,正常,茶饮料,统一麦香奶茶
250ml维他原味豆奶,120,热销,植物蛋白,维他原味豆奶
250ml维他奶低糖原味,21,正常,植物蛋白,维他奶低糖原味
250ml维他奶巧克力味,48,正常,植物蛋白,维他奶巧克力味
250ml维他奶黑豆奶饮品,3,滞销,植物蛋白,维他奶黑豆奶饮品
250ml维他柠檬茶,183,热销,茶饮料,维他柠檬茶
250ml维他椰子味豆奶7716,10,正常,植物蛋白,维他椰子味豆奶
250ml维他椰子植物蛋白饮料,11,正常,植物蛋白,维他椰子植物蛋白饮料
250ml维他椰子植物蛋白饮料9374,1,滞销,植物蛋白,维他椰子植物蛋白饮料
250ml香满楼纯牛奶,3,滞销,乳制品,香满楼纯牛奶
260g马来西亚进口茱蒂丝口口香饼干,26,正常,饼干糕点,马来西亚进口茱蒂丝口口香饼干
268ml雀巢咖啡丝滑拿铁,80,正常,咖啡,雀巢咖啡丝滑拿铁
2g韩国海牌海苔,63,正常,海味零食,韩国海牌海苔
30g元朗小蛋卷,26,正常,饼干糕点,元朗小蛋卷
30g无穷农场盐_鸡蛋,184,热销,蛋,无穷农场盐鸡蛋
32g卫龙亲嘴烧,116,热销,豆制品,卫龙亲嘴烧
32g卫龙亲嘴烧川香味,5,滞销,豆制品,卫龙亲嘴烧川香味
32g卫龙亲嘴烧红烧牛肉味,34,正常,豆制品,卫龙亲嘴烧红烧牛肉味
330ml伊利畅意乳酸菌原味,53,正常,乳制品,伊利畅意乳酸菌原味
330ml伊利畅意乳酸菌草莓味,2,滞销,乳制品,伊利畅意乳酸菌草莓味
34g公仔迷你杯牛肉味,10,正常,方便速食,公仔迷你杯牛肉味
34g公仔迷你杯风味排骨味,4,滞销,方便速食,公仔迷你杯风味排骨味
37.5g费列罗榛果威化巧克力3颗,35,正常,巧克力,.费列罗榛果威化巧克力颗
370g泰奇八宝粥,14,正常,方便速食,泰奇八宝粥
40g上好佳日式鱼果,20,正常,膨化食品,上好佳日式鱼果
40g上好佳田园薯片,2,滞销,膨化食品,上好佳田园薯片
40g上好佳田园薯片番茄味,3,滞销,膨化食品,上好佳田园薯片番茄味
40g乐事美国经典原味,28,正常,膨化食品,乐事美国经典原味
40g乐事薯片墨西哥鸡汁番茄味,10,正常,膨化食品,乐事薯片墨西哥鸡汁番茄味
40g乐事薯片黄瓜味,24,正常,膨化食品,乐事薯片黄瓜味
40g卫龙点心面黑椒牛排味,4,滞销,豆制品,卫龙点心面黑椒牛排味
40g双汇玉米热狗肠,151,热销,肉干,双汇玉米热狗肠
40g呀土豆番茄酱味,12,正常,膨化食品,呀土豆番茄酱味
40g呀土豆薯片滋香烤鸡味,14,正常,膨化食品,呀土豆薯片滋香烤鸡味
40g盼盼手撕面包,3,滞销,饼干糕点,盼盼手撕面包
430g泰奇八宝粥,55,正常,方便速食,泰奇八宝粥
450ml美汁源果粒橙,46,正常,果蔬饮料,美汁源果粒橙
45g双汇泡面拍挡,26,正常,肉干,双汇泡面拍挡
480ml小茗同学冷泡溜溜哒茶,3,滞销,茶饮料,小茗同学冷泡溜溜哒茶
480ml小茗同学冷泡青柠红茶,27,正常,茶饮料,小茗同学冷泡青柠红茶
48g好丽友薯愿香烤原味,10,正常,膨化食品,好丽友薯愿香烤原味
500ML宝矿力,4,滞销,功能饮料,宝矿力
500ml农夫果园 (芒果+菠萝+番石榴),29,正常,果蔬饮料,农夫果园 芒果菠萝番石榴
500ml加多宝,46,正常,茶饮料,加多宝
500ml康师傅冰糖雪梨,22,正常,果蔬饮料,康师傅冰糖雪梨
500ml恒大冰泉矿泉水,2,滞销,水,恒大冰泉矿泉水
500ml统一冰糖雪梨,3,滞销,果蔬饮料,统一冰糖雪梨
500ml统一阿萨姆奶茶,73,正常,茶饮料,统一阿萨姆奶茶
500ml营养快线原味,4,滞销,乳制品,营养快线原味
50g上好佳日式鱼果,19,正常,膨化食品,上好佳日式鱼果
50g上好佳田园薯片番茄味,21,正常,膨化食品,上好佳田园薯片番茄味
50g双层百力滋奶咖味,7,滞销,饼干糕点,双层百力滋奶咖味
50g双层百力滋特浓番茄味,6,滞销,饼干糕点,双层百力滋特浓番茄味
50g马赛克手撕鱿鱼条,8,滞销,海味零食,马赛克手撕鱿鱼条
52g旺旺仙贝,47,正常,膨化食品,旺旺仙贝
55g奥利奥原味夹心饼干,27,正常,饼干糕点,奥利奥原味夹心饼干
55g奥利奥原味芝士饼干,51,正常,饼干糕点,奥利奥原味芝士饼干
55g奥利奥迷你杯夹心小饼干杯装原味,5,滞销,饼干糕点,奥利奥迷你杯夹心小饼干杯装原味
58g丽芝士纳宝帝奶酪威化饼干,55,正常,饼干糕点,丽芝士纳宝帝奶酪威化饼干
5片装益达绿箭口香糖,10,正常,糖果,片装益达绿箭口香糖
600ml可口可乐,50,正常,碳酸饮料,可口可乐
600ml脉动青柠,37,正常,功能饮料,脉动青柠
600ml雪碧,63,正常,碳酸饮料,雪碧
65g卫龙亲嘴豆皮,23,正常,豆制品,卫龙亲嘴豆皮
68g多力多玉米片爆香热辣味,3,滞销,膨化食品,多力多玉米片爆香热辣味
68g好丽友巧克力派2枚,22,正常,饼干糕点,好丽友巧克力派枚
68g好丽友蛋黄派2枚,13,正常,饼干糕点,好丽友蛋黄派枚
70g乐事薯片原味,11,正常,膨化食品,乐事薯片原味
70g乐事薯片黄瓜味,11,正常,膨化食品,乐事薯片黄瓜味
70g乐事薯片（原味）,3,滞销,膨化食品,乐事薯片原味
70g乐事薯片（黄瓜味）,11,正常,膨化食品,乐事薯片黄瓜味
70g乖媳妇野山泡椒凤爪,42,正常,肉干,乖媳妇野山泡椒凤爪
75g新麦潮天然酵母面包（北海道牛奶风味）,48,正常,饼干糕点,新麦潮天然酵母面包北海道牛奶风味
75g达利园柠檬蛋糕,1,滞销,饼干糕点,达利园柠檬蛋糕
78g卫龙亲嘴语辣条,42,正常,豆制品,卫龙亲嘴语辣条
78g卫龙亲语,1,滞销,豆制品,卫龙亲语
78g合味道杯面香菇炖鸡风味,4,滞销,方便速食,合味道杯面香菇炖鸡风味
80g四洲粟一烧烧烤味,16,正常,膨化食品,四洲粟一烧烧烤味
80g盼盼手撕面包,2,滞销,饼干糕点,盼盼手撕面包
80g香飘飘椰果奶茶原味,13,正常,茶饮料,香飘飘椰果奶茶原味
80g香飘飘椰果奶茶麦香味,16,正常,茶饮料,香飘飘椰果奶茶麦香味
80g马赛克香蕉片,5,滞销,果干,马赛克香蕉片
83g汤达人酸辣豚骨拉面,6,滞销,方便速食,汤达人酸辣豚骨拉面
85g嘉士利果乐果香夹心饼干蓝莓味,47,正常,饼干糕点,嘉士利果乐果香夹心饼干蓝莓味
85g新麦潮北海道吐司,113,热销,饼干糕点,新麦潮北海道吐司
85g新麦潮手撕面包（提子味）,100,正常,饼干糕点,新麦潮手撕面包提子味
85g统一老坛酸菜牛肉面,81,正常,方便速食,统一老坛酸菜牛肉面
86g合味道浓猪骨味,12,正常,方便速食,合味道浓猪骨味
86g合味道海鲜风味,81,正常,方便速食,合味道海鲜风味
91g徐福记凤梨酥,34,正常,饼干糕点,徐福记凤梨酥
上好佳田园薯片,9,滞销,膨化食品,上好佳田园薯片
东鹏特饮,328,热销,功能饮料,东鹏特饮
丽芝士纳宝帝奶酪威化饼干,27,正常,饼干糕点,丽芝士纳宝帝奶酪威化饼干
乐事薯片（青柠）,2,滞销,膨化食品,乐事薯片青柠
乐事薯片（黄瓜味）,18,正常,膨化食品,乐事薯片黄瓜味
乐虎,29,正常,功能饮料,乐虎
乐虎（380ml）,4,滞销,功能饮料,乐虎
乖媳妇野山椒风爪,3,滞销,肉干,乖媳妇野山椒风爪
伊利优酸乳,258,热销,乳制品,伊利优酸乳
伊利纯牛奶,64,正常,乳制品,伊利纯牛奶
优益C活菌型乳酸菌饮品,2,滞销,乳制品,优益活菌型乳酸菌饮品
健能酸奶,1,滞销,乳制品,健能酸奶
农夫果园,5,滞销,果蔬饮料,农夫果园
冰糖雪梨,59,正常,果蔬饮料,冰糖雪梨
冰红茶（罐）,8,滞销,茶饮料,冰红茶罐
凤爪,19,正常,肉干,凤爪
利群（硬）,1,滞销,香烟,利群硬
加多宝,8,滞销,茶饮料,加多宝
劲仔小鱼,1,滞销,肉干,劲仔小鱼
劲仔小鱼（卤香味）,12,正常,肉干,劲仔小鱼卤香味
劲仔小鱼（香辣味）,1,滞销,肉干,劲仔小鱼香辣味
劲仔小鱼（麻辣味）,19,正常,肉干,劲仔小鱼麻辣味
卫龙亲嘴烧红烧牛肉味,9,滞销,豆制品,卫龙亲嘴烧红烧牛肉味
卫龙亲嘴烧麦辣鸡汁味,3,滞销,豆制品,卫龙亲嘴烧麦辣鸡汁味
卫龙大面筋,219,热销,豆制品,卫龙大面筋
印尼芝士威化饼干,39,正常,饼干糕点,印尼芝士威化饼干
双汇玉米热狗肠,28,正常,肉干,双汇玉米热狗肠
口味王槟榔（红）,43,正常,果干,口味王槟榔红
口味王槟榔（绿色）,3,滞销,果干,口味王槟榔绿色
口味王槟榔（绿）,71,正常,果干,口味王槟榔绿
可乐可乐,23,正常,碳酸饮料,可乐可乐
可口可乐330ml,219,热销,碳酸饮料,可口可乐
可口可乐330ml（罐）,3,滞销,碳酸饮料,可口可乐罐
可口可乐最新款,116,热销,碳酸饮料,可口可乐最新款
可口可乐（500ml）,60,正常,碳酸饮料,可口可乐
合味道（浓猪骨）,1,滞销,方便速食,合味道浓猪骨
合味道（海鲜风味）,27,正常,方便速食,合味道海鲜风味
味之不规则饼干（番茄味）,1,滞销,饼干糕点,味之不规则饼干番茄味
味之不规则饼干（芝士味）,15,正常,饼干糕点,味之不规则饼干芝士味
和成天下（红）,1,滞销,香烟,和成天下红
和成天下（黄）,8,滞销,香烟,和成天下黄
咪咪,2,滞销,膨化食品,咪咪
咪咪虾条马来西亚风味,74,正常,膨化食品,咪咪虾条马来西亚风味
商品14,1,滞销,其他,商品
商品2,3,滞销,其他,商品
商品21,1,滞销,其他,商品
商品36,1,滞销,其他,商品
四洲粟一烧烧烤味,4,滞销,膨化食品,四洲粟一烧烧烤味
多力多滋（热辣味）,2,滞销,膨化食品,多力多滋热辣味
多芙利香草奶油味蛋糕,1,滞销,饼干糕点,多芙利香草奶油味蛋糕
天地一号,3,滞销,果蔬饮料,天地一号
奥利奥原味芝士,18,正常,饼干糕点,奥利奥原味芝士
好吃点,19,正常,饼干糕点,好吃点
好吃点小饼干,37,正常,饼干糕点,好吃点小饼干
娃哈哈红枣酸奶,2,滞销,乳制品,娃哈哈红枣酸奶
安慕希酸奶,3,滞销,乳制品,安慕希酸奶
小糖衣血糖仪,5,滞销,其他,小糖衣血糖仪
小茗同学,12,正常,茶饮料,小茗同学
小茗同学冷泡茶（乳酸菌味）,5,滞销,茶饮料,小茗同学冷泡茶乳酸菌味
小茗同学（青柠红茶）,2,滞销,茶饮料,小茗同学青柠红茶
小鱼仔,116,热销,海味零食,小鱼仔
尖叫,22,正常,功能饮料,尖叫
康师傅矿泉水,24,正常,水,康师傅矿泉水
怡宝,182,热销,水,怡宝
怡宝矿泉水,7,滞销,水,怡宝矿泉水
怡宝纯净水,999,热销,水,怡宝纯净水
手撕素肉排,19,正常,肉干,手撕素肉排
拿铁咖啡（统一）,2,滞销,咖啡,拿铁咖啡统一
新麦潮北海道吐司,2,滞销,饼干糕点,新麦潮北海道吐司
新麦潮天然酵母面包（牛奶风味）,7,滞销,饼干糕点,新麦潮天然酵母面包牛奶风味
新麦潮天然酵母面包（良品铺子）,2,滞销,饼干糕点,新麦潮天然酵母面包良品铺子
无穷农场盐_鸡蛋,39,正常,蛋,无穷农场盐鸡蛋
无穷烤鸡小腿（蜂蜜）,13,正常,肉干,无穷烤鸡小腿蜂蜜
日式鱼果,26,正常,膨化食品,日式鱼果
旺仔牛奶,10,正常,乳制品,旺仔牛奶
旺仔牛奶145ml,14,正常,乳制品,旺仔牛奶
果粒橙,328,热销,果蔬饮料,果粒橙
椰树牌椰汁,24,正常,植物蛋白,椰树牌椰汁
汤达人方便面,2,滞销,方便速食,汤达人方便面
泰奇八宝粥,18,正常,方便速食,泰奇八宝粥
湘潭铺子(羽泉版),14,正常,果干,湘潭铺子羽泉版
熊字饼,90,正常,饼干糕点,熊字饼
燕塘原味酸奶,29,正常,乳制品,燕塘原味酸奶
燕塘甜牛奶,18,正常,乳制品,燕塘甜牛奶
燕塘红枣牛奶,12,正常,乳制品,燕塘红枣牛奶
王老吉（500ml）,238,热销,茶饮料,王老吉
王老吉（罐）,402,热销,茶饮料,王老吉罐
珠江纯生啤酒,5,滞销,功能饮料,珠江纯生啤酒
百事可乐330ml,2,滞销,碳酸饮料,百事可乐
百事可乐500ml,12,正常,碳酸饮料,百事可乐
益力多100g*5瓶,3,滞销,乳制品,益力多
盼盼手撕面包,6,滞销,饼干糕点,盼盼手撕面包
红牛,220,热销,功能饮料,红牛
统一冰红茶,394,热销,茶饮料,统一冰红茶
统一来一桶香辣老坛酸菜牛肉面,23,正常,方便速食,统一来一桶香辣老坛酸菜牛肉面
统一绿茶,246,热销,茶饮料,统一绿茶
统一阿萨姆奶茶,12,正常,茶饮料,统一阿萨姆奶茶
维他原味豆奶,29,正常,植物蛋白,维他原味豆奶
维他奶,66,正常,植物蛋白,维他奶
维他奶黑豆奶饮品,2,滞销,植物蛋白,维他奶黑豆奶饮品
维他奶（巧克力味）,6,滞销,植物蛋白,维他奶巧克力味
维他柠檬茶,58,正常,茶饮料,维他柠檬茶
维他柠檬茶330ml（罐）,13,正常,茶饮料,维他柠檬茶罐
美年达（罐）,2,滞销,碳酸饮料,美年达罐
美汁源果粒橙,21,正常,果蔬饮料,美汁源果粒橙
脉动,759,热销,功能饮料,脉动
脉动（椰子菠萝口味）,2,滞销,功能饮料,脉动椰子菠萝口味
脉动（青柠）,9,滞销,功能饮料,脉动青柠
芙蓉王,32,正常,香烟,芙蓉王
芦荟汁,1,滞销,果蔬饮料,芦荟汁
芬达330ml,271,热销,碳酸饮料,芬达
茉莉蜜茶,67,正常,茶饮料,茉莉蜜茶
营养快线,435,热销,乳制品,营养快线
诗竹竹纤维面巾纸,16,正常,纸巾,诗竹竹纤维面巾纸
越南LIPO奶味面包干100g,8,滞销,饼干糕点,越南奶味面包干
迷你纸巾,10,正常,纸巾,迷你纸巾
银鹭八宝粥,163,热销,方便速食,银鹭八宝粥
阿萨姆奶茶,455,热销,茶饮料,阿萨姆奶茶
阿萨姆煎茶奶绿,76,正常,茶饮料,阿萨姆煎茶奶绿
雀巢咖啡,26,正常,咖啡,雀巢咖啡
雪力矿泉水,2,滞销,水,雪力矿泉水
雪碧,7,滞销,碳酸饮料,雪碧
雪碧330ml,70,正常,碳酸饮料,雪碧
雪碧最新款,230,热销,碳酸饮料,雪碧最新款
雪碧（500ml）,69,正常,碳酸饮料,雪碧
韩国海牌海苔,10,正常,海味零食,韩国海牌海苔
顺宝九制梅,7,滞销,蜜饯,顺宝九制梅
香脆肠,65,正常,肉干,香脆肠
香豆干,115,热销,豆制品,香豆干
鸡爪,6,滞销,肉干,鸡爪
鸭翅,171,热销,肉干,鸭翅
