商品,销量,标签,标签1,标签2
330ml伊利畅意乳酸菌原味,33,正常,乳制品,伊利畅意乳酸菌原味
34g公仔迷你杯牛肉味,3,滞销,方便速食,公仔迷你杯牛肉味
34g公仔迷你杯风味排骨味,1,滞销,方便速食,公仔迷你杯风味排骨味
37.5g费列罗榛果威化巧克力3颗,9,滞销,巧克力,.费列罗榛果威化巧克力颗
370g泰奇八宝粥,15,正常,方便速食,泰奇八宝粥
40g上好佳日式鱼果,6,滞销,膨化食品,上好佳日式鱼果
40g乐事美国经典原味,23,正常,膨化食品,乐事美国经典原味
40g乐事薯片墨西哥鸡汁番茄味,1,滞销,膨化食品,乐事薯片墨西哥鸡汁番茄味
40g乐事薯片黄瓜味,19,正常,膨化食品,乐事薯片黄瓜味
40g卫龙点心面黑椒牛排味,1,滞销,豆制品,卫龙点心面黑椒牛排味
40g双汇玉米热狗肠,147,热销,肉干,双汇玉米热狗肠
40g呀土豆番茄酱味,14,正常,膨化食品,呀土豆番茄酱味
40g呀土豆薯片滋香烤鸡味,13,正常,膨化食品,呀土豆薯片滋香烤鸡味
430g泰奇八宝粥,50,正常,方便速食,泰奇八宝粥
450ml美汁源果粒橙,20,正常,果蔬饮料,美汁源果粒橙
45g双汇泡面拍挡,37,正常,肉干,双汇泡面拍挡
480ml小茗同学冷泡溜溜哒茶,5,滞销,茶饮料,小茗同学冷泡溜溜哒茶
480ml小茗同学冷泡青柠红茶,32,正常,茶饮料,小茗同学冷泡青柠红茶
48g好丽友薯愿香烤原味,6,滞销,膨化食品,好丽友薯愿香烤原味
500ml农夫果园 (芒果+菠萝+番石榴),10,正常,果蔬饮料,农夫果园 芒果菠萝番石榴
500ml加多宝,20,正常,茶饮料,加多宝
500ml康师傅冰糖雪梨,3,滞销,果蔬饮料,康师傅冰糖雪梨
500ml恒大冰泉矿泉水,1,滞销,水,恒大冰泉矿泉水
500ml统一冰糖雪梨,2,滞销,果蔬饮料,统一冰糖雪梨
500ml统一阿萨姆奶茶,28,正常,茶饮料,统一阿萨姆奶茶
500ml营养快线原味,2,滞销,乳制品,营养快线原味
50g上好佳日式鱼果,5,滞销,膨化食品,上好佳日式鱼果
50g上好佳田园薯片番茄味,10,正常,膨化食品,上好佳田园薯片番茄味
50g双层百力滋奶咖味,1,滞销,饼干糕点,双层百力滋奶咖味
50g马赛克手撕鱿鱼条,3,滞销,海味零食,马赛克手撕鱿鱼条
52g旺旺仙贝,36,正常,膨化食品,旺旺仙贝
55g奥利奥原味夹心饼干,11,正常,饼干糕点,奥利奥原味夹心饼干
55g奥利奥原味芝士饼干,46,正常,饼干糕点,奥利奥原味芝士饼干
55g奥利奥迷你杯夹心小饼干杯装原味,5,滞销,饼干糕点,奥利奥迷你杯夹心小饼干杯装原味
58g丽芝士纳宝帝奶酪威化饼干,20,正常,饼干糕点,丽芝士纳宝帝奶酪威化饼干
5片装益达绿箭口香糖,3,滞销,糖果,片装益达绿箭口香糖
600ml可口可乐,54,正常,碳酸饮料,可口可乐
600ml脉动青柠,28,正常,功能饮料,脉动青柠
600ml雪碧,14,正常,碳酸饮料,雪碧
65g卫龙亲嘴豆皮,23,正常,豆制品,卫龙亲嘴豆皮
68g好丽友巧克力派2枚,20,正常,饼干糕点,好丽友巧克力派枚
68g好丽友蛋黄派2枚,7,滞销,饼干糕点,好丽友蛋黄派枚
70g乐事薯片原味,6,滞销,膨化食品,乐事薯片原味
70g乐事薯片青柠味,1,滞销,膨化食品,乐事薯片青柠味
70g乐事薯片黄瓜味,10,正常,膨化食品,乐事薯片黄瓜味
70g乐事薯片（原味）,2,滞销,膨化食品,乐事薯片原味
70g乐事薯片（黄瓜味）,9,滞销,膨化食品,乐事薯片黄瓜味
70g乖媳妇野山泡椒凤爪,22,正常,肉干,乖媳妇野山泡椒凤爪
75g新麦潮天然酵母面包（北海道牛奶风味）,16,正常,饼干糕点,新麦潮天然酵母面包北海道牛奶风味
78g卫龙亲嘴语辣条,40,正常,豆制品,卫龙亲嘴语辣条
78g卫龙亲语,15,正常,豆制品,卫龙亲语
78g合味道杯面香菇炖鸡风味,4,滞销,方便速食,合味道杯面香菇炖鸡风味
80g四洲粟一烧烧烤味,6,滞销,膨化食品,四洲粟一烧烧烤味
80g香飘飘椰果奶茶原味,8,滞销,茶饮料,香飘飘椰果奶茶原味
80g香飘飘椰果奶茶麦香味,15,正常,茶饮料,香飘飘椰果奶茶麦香味
80g马赛克香蕉片,6,滞销,果干,马赛克香蕉片
83g汤达人酸辣豚骨拉面,4,滞销,方便速食,汤达人酸辣豚骨拉面
85g嘉士利果乐果香夹心饼干蓝莓味,42,正常,饼干糕点,嘉士利果乐果香夹心饼干蓝莓味
85g新麦潮北海道吐司,66,正常,饼干糕点,新麦潮北海道吐司
85g新麦潮手撕面包（提子味）,52,正常,饼干糕点,新麦潮手撕面包提子味
85g统一老坛酸菜牛肉面,78,正常,方便速食,统一老坛酸菜牛肉面
86g合味道浓猪骨味,10,正常,方便速食,合味道浓猪骨味
86g合味道海鲜风味,46,正常,方便速食,合味道海鲜风味
91g徐福记凤梨酥,21,正常,饼干糕点,徐福记凤梨酥
上好佳洋葱圈,1,滞销,膨化食品,上好佳洋葱圈
上好佳田园薯片,2,滞销,膨化食品,上好佳田园薯片
东鹏特饮,401,热销,功能饮料,东鹏特饮
丽芝士纳宝帝奶酪威化饼干,6,滞销,饼干糕点,丽芝士纳宝帝奶酪威化饼干
乐虎,1,滞销,功能饮料,乐虎
乐虎（380ml）,15,正常,功能饮料,乐虎
乖媳妇野山椒风爪,12,正常,肉干,乖媳妇野山椒风爪
伊利优酸乳,102,热销,乳制品,伊利优酸乳
伊利纯牛奶,75,正常,乳制品,伊利纯牛奶
健能酸奶,7,滞销,乳制品,健能酸奶
农夫果园,1,滞销,果蔬饮料,农夫果园
冰糖雪梨,16,正常,果蔬饮料,冰糖雪梨
冰红茶（罐）,2,滞销,茶饮料,冰红茶罐
凤爪,15,正常,肉干,凤爪
加多宝,4,滞销,茶饮料,加多宝
劲仔小鱼（卤香味）,5,滞销,肉干,劲仔小鱼卤香味
劲仔小鱼（麻辣味）,16,正常,肉干,劲仔小鱼麻辣味
卫龙亲嘴烧红烧牛肉味,4,滞销,豆制品,卫龙亲嘴烧红烧牛肉味
卫龙大面筋,204,热销,豆制品,卫龙大面筋
印尼芝士威化饼干,16,正常,饼干糕点,印尼芝士威化饼干
双汇玉米热狗肠,12,正常,肉干,双汇玉米热狗肠
口味王槟榔（红）,15,正常,果干,口味王槟榔红
口味王槟榔（绿）,51,正常,果干,口味王槟榔绿
可乐可乐,16,正常,碳酸饮料,可乐可乐
可乐（500ml）,2,滞销,碳酸饮料,可乐
可口可乐330ml,54,正常,碳酸饮料,可口可乐
可口可乐330ml（罐）,1,滞销,碳酸饮料,可口可乐罐
可口可乐最新款,143,热销,碳酸饮料,可口可乐最新款
可口可乐（500ml）,176,热销,碳酸饮料,可口可乐
合味道（浓猪骨）,1,滞销,方便速食,合味道浓猪骨
合味道（海鲜风味）,9,滞销,方便速食,合味道海鲜风味
味之不规则饼干（韩国泡菜味）,1,滞销,膨化食品,味之不规则饼干韩国泡菜味
和成天下（黄）,2,滞销,香烟,和成天下黄
咪咪,28,正常,膨化食品,咪咪
咪咪虾条马来西亚风味,10,正常,膨化食品,咪咪虾条马来西亚风味
商品1,1,滞销,其他,商品
商品2,2,滞销,其他,商品
四洲粟一烧烧烤味,2,滞销,膨化食品,四洲粟一烧烧烤味
多芙利香草奶油味蛋糕,1,滞销,饼干糕点,多芙利香草奶油味蛋糕
奥利奥原味芝士,8,滞销,饼干糕点,奥利奥原味芝士
好吃点,3,滞销,饼干糕点,好吃点
好吃点小饼干,7,滞销,饼干糕点,好吃点小饼干
威化饼干,3,滞销,饼干糕点,威化饼干
安慕希酸奶,2,滞销,乳制品,安慕希酸奶
小糖衣血糖仪,17,正常,其他,小糖衣血糖仪
小糖衣血糖试纸,1,滞销,其他,小糖衣血糖试纸
小茗同学冷泡茶（乳酸菌味）,1,滞销,茶饮料,小茗同学冷泡茶乳酸菌味
小鱼仔,108,热销,海味零食,小鱼仔
尖叫,6,滞销,功能饮料,尖叫
康师傅矿泉水,10,正常,水,康师傅矿泉水
怡宝,14,正常,水,怡宝
怡宝矿泉水,4,滞销,水,怡宝矿泉水
怡宝纯净水,387,热销,水,怡宝纯净水
手撕素肉排,1,滞销,肉干,手撕素肉排
新麦潮北海道吐司,4,滞销,饼干糕点,新麦潮北海道吐司
新麦潮天然酵母面包（牛奶风味）,1,滞销,饼干糕点,新麦潮天然酵母面包牛奶风味
新麦潮手撕面包（提子味）,2,滞销,饼干糕点,新麦潮手撕面包提子味
无穷农场盐_鸡蛋,12,正常,蛋,无穷农场盐鸡蛋
无穷烤鸡小腿（蜂蜜）,3,滞销,肉干,无穷烤鸡小腿蜂蜜
日式鱼果,2,滞销,膨化食品,日式鱼果
旺仔牛奶,2,滞销,乳制品,旺仔牛奶
旺仔牛奶145ml,1,滞销,乳制品,旺仔牛奶
果粒橙,168,热销,果蔬饮料,果粒橙
椰树牌椰汁,7,滞销,植物蛋白,椰树牌椰汁
每日特惠,1,滞销,其他,每日特惠
汤达人方便面,2,滞销,方便速食,汤达人方便面
汤达人桶面,2,滞销,方便速食,汤达人桶面
泰奇八宝粥,6,滞销,方便速食,泰奇八宝粥
湘潭铺子(羽泉版),12,正常,果干,湘潭铺子羽泉版
熊字饼,117,热销,饼干糕点,熊字饼
燕塘原味酸奶,6,滞销,乳制品,燕塘原味酸奶
燕塘甜牛奶,2,滞销,乳制品,燕塘甜牛奶
燕塘红枣牛奶,5,滞销,乳制品,燕塘红枣牛奶
王老吉（500ml）,87,正常,茶饮料,王老吉
王老吉（罐）,177,热销,茶饮料,王老吉罐
百事可乐330ml,32,正常,碳酸饮料,百事可乐
百事可乐500ml,5,滞销,碳酸饮料,百事可乐
益力多100g*5瓶,5,滞销,乳制品,益力多
盼盼手撕面包,1,滞销,饼干糕点,盼盼手撕面包
红利群（硬）,2,滞销,香烟,红利群硬
红牛,178,热销,功能饮料,红牛
经典奶茶,1,滞销,茶饮料,经典奶茶
统一冰红茶,309,热销,茶饮料,统一冰红茶
统一来一桶香辣老坛酸菜牛肉面,6,滞销,方便速食,统一来一桶香辣老坛酸菜牛肉面
统一绿茶,188,热销,茶饮料,统一绿茶
统一阿萨姆奶茶,2,滞销,茶饮料,统一阿萨姆奶茶
维他原味豆奶,15,正常,植物蛋白,维他原味豆奶
维他奶,52,正常,植物蛋白,维他奶
维他奶（巧克力味）,2,滞销,植物蛋白,维他奶巧克力味
维他柠檬茶,65,正常,茶饮料,维他柠檬茶
美年达（罐）,71,正常,碳酸饮料,美年达罐
美汁源果粒橙,5,滞销,果蔬饮料,美汁源果粒橙
脉动,283,热销,功能饮料,脉动
脉动（椰子菠萝口味）,1,滞销,功能饮料,脉动椰子菠萝口味
脉动（青柠）,1,滞销,功能饮料,脉动青柠
芙蓉王,8,滞销,香烟,芙蓉王
芦荟汁,1,滞销,果蔬饮料,芦荟汁
芬达330ml,9,滞销,碳酸饮料,芬达
茉莉蜜茶,30,正常,茶饮料,茉莉蜜茶
营养快线,319,热销,乳制品,营养快线
诗竹竹纤维面巾纸,3,滞销,纸巾,诗竹竹纤维面巾纸
贡美苹果数据线,1,滞销,其他,贡美苹果数据线
银鹭八宝粥,80,正常,方便速食,银鹭八宝粥
阿萨姆奶茶,365,热销,茶饮料,阿萨姆奶茶
阿萨姆煎茶奶绿,14,正常,茶饮料,阿萨姆煎茶奶绿
雀巢咖啡,23,正常,咖啡,雀巢咖啡
雪力矿泉水,7,滞销,水,雪力矿泉水
雪碧,2,滞销,碳酸饮料,雪碧
雪碧330ml,19,正常,碳酸饮料,雪碧
雪碧最新款,167,热销,碳酸饮料,雪碧最新款
雪碧（500ml）,132,热销,碳酸饮料,雪碧
韩国海牌海苔,1,滞销,海味零食,韩国海牌海苔
香脆肠,42,正常,肉干,香脆肠
香豆干,188,热销,豆制品,香豆干
鸭翅,158,热销,肉干,鸭翅
